GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
0500000US48491,48491,"Williamson County, Texas",23682,1883,53144,2263,82061,3274,117267,3799,217812,12908,351384,38171
0500000US49005,49005,"Cache County, Utah",15157,1928,36721,3744,57469,3810,81532,4218,177060,22378,334604,76680
0500000US49011,49011,"Davis County, Utah",23897,2177,53184,2526,77878,3049,108939,3757,202389,12374,337471,43387
0500000US49035,49035,"Salt Lake County, Utah",18461,981,44402,1411,68294,1585,101380,2089,213151,10315,381313,34929
0500000US49049,49049,"Utah County, Utah",17706,1260,44102,1840,69109,1992,99561,2582,193654,9191,327131,29349
0500000US49053,49053,"Washington County, Utah",15854,1981,36706,2592,55232,3543,81581,5514,183098,23318,337199,63971
0500000US49057,49057,"Weber County, Utah",15550,2066,40760,2325,63352,3231,91290,3721,169796,15775,286925,57048
0500000US50007,50007,"Chittenden County, Vermont",16256,2225,41688,3274,69260,4316,105017,5283,216594,20124,381552,60054
0500000US51003,51003,"Albemarle County, Virginia",19498,2491,46031,3872,72807,5622,111945,7375,250550,25582,421989,57979
0500000US51013,51013,"Arlington County, Virginia",25435,2911,70966,4013,110950,4043,165958,4810,344224,18990,568894,51820
0500000US51015,51015,"Augusta County, Virginia",15100,2224,36590,4620,56022,4509,78759,4828,155415,21922,268903,63629
0500000US51019,51019,"Bedford County, Virginia",13377,2302,35771,3490,57735,5554,93454,7592,179573,17140,281279,42519
0500000US51041,51041,"Chesterfield County, Virginia",22597,1613,48326,2208,74771,3108,108213,3261,208488,13536,354541,47069
0500000US51059,51059,"Fairfax County, Virginia",28893,1648,75327,1972,116698,1964,171530,2883,344226,10891,584740,32059
0500000US51061,51061,"Fauquier County, Virginia",22798,3890,58300,7964,98437,9891,148200,10888,280626,33085,460522,102992
0500000US51069,51069,"Frederick County, Virginia",24317,3482,51840,3540,71385,4826,104935,8286,193741,25945,317880,89292
0500000US51085,51085,"Hanover County, Virginia",23227,2399,52640,4046,84013,4738,120240,5377,227548,26794,384044,89616
0500000US51087,51087,"Henrico County, Virginia",17596,1571,41805,1994,66398,2698,98904,3906,240468,21968,442250,73309
0500000US51095,51095,"James City County, Virginia",18696,4613,49664,6422,84104,7104,122174,6811,272803,47652,521976,151211
0500000US51107,51107,"Loudoun County, Virginia",37228,3012,87630,4050,133642,4245,185943,4910,317793,15028,478155,44340
0500000US51121,51121,"Montgomery County, Virginia",7876,2531,32287,4642,57645,5400,90290,8754,238060,47229,464851,131542
0500000US51153,51153,"Prince William County, Virginia",23591,2579,61506,2845,97995,3415,141482,4275,243940,8627,339817,23338
0500000US51161,51161,"Roanoke County, Virginia",15888,2433,36727,3462,61214,5608,96045,7384,200017,28859,372859,99471
0500000US51165,51165,"Rockingham County, Virginia",16573,2997,36789,2767,57069,4997,86818,5371,188900,32223,361478,114732
0500000US51177,51177,"Spotsylvania County, Virginia",27416,3481,56481,3437,81782,4134,115444,5240,198383,11858,280970,35226
0500000US51179,51179,"Stafford County, Virginia",27219,3207,59393,4775,97519,6566,148661,7698,266174,24516,392318,78563
0500000US51199,51199,"York County, Virginia",27048,4255,57072,6078,89714,6629,124552,6730,228302,22465,348777,59251
0500000US51510,51510,"Alexandria city, Virginia",21836,2265,54567,3714,87763,3961,139421,7217,304774,21868,530556,64938
0500000US51550,51550,"Chesapeake city, Virginia",19485,2350,47581,3100,72815,4060,105260,4697,206459,21012,341164,66482
0500000US51650,51650,"Hampton city, Virginia",11733,2490,33893,2442,50111,2604,75593,4374,158627,19588,279831,65068
0500000US51680,51680,"Lynchburg city, Virginia",10413,2587,27324,3270,41482,3950,66206,7105,157116,30182,322885,106732
0500000US51700,51700,"Newport News city, Virginia",12563,1770,30754,2157,50715,2691,76508,4067,154091,10449,255876,30689
0500000US51710,51710,"Norfolk city, Virginia",9702,1043,26770,1862,46442,2380,72024,2730,166774,17461,304006,65718
0500000US51740,51740,"Portsmouth city, Virginia",11411,1984,29628,2732,47989,3380,74542,4642,139615,12299,206820,24404
0500000US51760,51760,"Richmond city, Virginia",7368,1191,22326,1907,42351,2788,74247,3775,200997,18940,411458,63129
0500000US51770,51770,"Roanoke city, Virginia",8313,1369,21818,2849,36965,3180,56393,4353,123434,12392,209166,36629
0500000US51800,51800,"Suffolk city, Virginia",17469,2177,39754,4415,67164,5410,100353,5246,200960,26482,358846,90971
0500000US51810,51810,"Virginia Beach city, Virginia",19721,1554,47093,1664,71606,2101,104930,2750,209528,12877,360083,45637
0500000US53005,53005,"Benton County, Washington",15333,1725,39123,3038,63760,3347,98148,3947,184438,12886,286347,37221
0500000US53007,53007,"Chelan County, Washington",12993,2513,32760,3936,51826,5878,80561,7635,173798,22113,313770,77339
0500000US53009,53009,"Clallam County, Washington",11719,1769,30453,3370,48980,3946,73741,5992,135589,11051,210480,28770
0500000US53011,53011,"Clark County, Washington",19288,1557,44710,1893,69418,2303,102584,3055,209623,9936,370197,31920
0500000US53015,53015,"Cowlitz County, Washington",10532,1956,29060,3557,50711,4559,78423,5004,158725,15177,249665,40057
0500000US53021,53021,"Franklin County, Washington",15671,3048,36979,4390,57712,4656,85602,7216,162533,21641,262494,45479
