GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
0500000US48397,48397,"Rockwall County, Texas",23576,3417,46912,3825,71089,6022,100340,7502,205726,21773,330623,48860
0500000US48409,48409,"San Patricio County, Texas",10638,2563,25437,2404,38687,3989,61624,7087,142149,22868,264058,75219
0500000US48423,48423,"Smith County, Texas",9768,1053,24055,1685,41191,2558,67765,3626,146969,12755,263067,41513
0500000US48439,48439,"Tarrant County, Texas",12759,505,32159,712,52154,947,80331,1294,167696,4749,291565,16287
0500000US48441,48441,"Taylor County, Texas",11321,1042,24405,1966,39952,2819,59887,3466,128072,15244,227969,54942
0500000US48451,48451,"Tom Green County, Texas",9802,1444,21736,1504,35695,3215,62133,4890,123379,10393,203633,32011
0500000US48453,48453,"Travis County, Texas",11434,717,31266,1013,50832,1355,80585,1886,192520,8472,353592,28935
0500000US48469,48469,"Victoria County, Texas",12789,2479,28937,2485,45070,4033,69712,4115,144438,15055,237838,41637
0500000US48479,48479,"Webb County, Texas",6515,813,17667,2146,33615,2666,54640,3087,108517,6685,166721,14866
0500000US48485,48485,"Wichita County, Texas",8164,1029,20815,2032,36111,2546,56089,3906,146676,22463,295454,76257
0500000US48491,48491,"Williamson County, Texas",19709,1243,42339,1585,62905,2042,90456,2752,156700,5431,223485,12060
0500000US49005,49005,"Cache County, Utah",12777,1829,26948,2117,43545,2851,64958,3512,120297,7474,186113,21477
0500000US49011,49011,"Davis County, Utah",19986,1775,42923,1821,61163,1788,84186,2632,167561,15965,300098,58685
0500000US49035,49035,"Salt Lake County, Utah",14390,788,34341,907,53151,1187,78026,1530,153811,4244,253604,13703
0500000US49049,49049,"Utah County, Utah",14228,1153,32752,1479,50694,1588,73088,1889,147725,13234,263531,48019
0500000US49053,49053,"Washington County, Utah",16082,1959,32070,1874,45764,2932,65544,4019,122873,11475,192419,28461
0500000US49057,49057,"Weber County, Utah",13976,1214,32146,1744,49015,1853,69376,2584,130061,8973,210313,31358
0500000US50007,50007,"Chittenden County, Vermont",14542,1480,35369,2756,55869,3117,83145,3448,150643,8663,227921,25248
0500000US51003,51003,"Albemarle County, Virginia",16524,2234,37259,3586,58983,3755,89856,7053,231451,39790,434962,132298
0500000US51013,51013,"Arlington County, Virginia",21715,2417,57084,3451,87467,3912,128460,6527,285527,29163,497944,95016
0500000US51015,51015,"Augusta County, Virginia",10415,1807,27598,3639,46104,3865,65018,3903,114642,9554,169015,19889
0500000US51019,51019,"Bedford County, Virginia",13478,2934,31592,3139,50636,5094,75983,6095,170215,24603,317574,82559
0500000US51041,51041,"Chesterfield County, Virginia",21433,1577,44761,1622,67510,2278,95226,2689,168419,7322,255661,19864
0500000US51059,51059,"Fairfax County, Virginia",27483,1318,64426,1488,99710,1815,145422,2497,289024,9837,495699,30784
0500000US51061,51061,"Fauquier County, Virginia",20082,6129,52154,5478,76431,7770,118446,10096,235161,29783,367964,60919
0500000US51069,51069,"Frederick County, Virginia",15539,2580,36534,3249,54699,4484,83108,6243,154170,13515,242963,33506
0500000US51085,51085,"Hanover County, Virginia",23495,3232,49942,2515,68841,3675,97077,6395,174254,16477,267564,44054
0500000US51087,51087,"Henrico County, Virginia",16448,1533,37021,1765,57486,2061,84937,3186,181451,13020,318961,41532
0500000US51107,51107,"Loudoun County, Virginia",29191,3381,68114,3379,100292,3442,140498,3992,254115,19141,409258,66437
0500000US51121,51121,"Montgomery County, Virginia",6937,1368,20935,2662,38464,3790,61798,4728,127704,17451,212157,55920
0500000US51153,51153,"Prince William County, Virginia",27650,1920,55452,2342,80625,2457,115516,3794,205196,14781,313001,49775
0500000US51161,51161,"Roanoke County, Virginia",18639,2066,36477,2728,53524,2500,82875,4977,166891,19826,278996,58417
0500000US51165,51165,"Rockingham County, Virginia",10135,2104,29172,2947,47294,2973,67132,3695,136165,26380,237709,91619
0500000US51177,51177,"Spotsylvania County, Virginia",21960,3620,49839,3692,72217,3744,102378,5807,204373,55182,372003,216634
