SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,DEMOGRAPHIC,SUPPRESSED,GRADS,ACADEMIC,CAREER,NONDUP,EL,BONUS,TRANSITIONRATE,TRANRATEWBONUS
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,LUP,N,109,57,64,81,0,16,74.3,78
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,LUN,N,112,71,86,95,0,24,84.8,90.2
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,LEP,Y,2,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,LEN,Y,219,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,HOM,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,FOS,Y,2,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETW,N,206,121,145,167,0,40,81.1,85.9
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETP,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETO,Y,5,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETI,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETH,Y,8,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETB,Y,2,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETA,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ELN,Y,219,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ELM,Y,2,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,CSG,N,29,12,10,16,0,2,55.2,56.9
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ALT,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ACO,N,204,123,145,169,0,38,82.8,87.5
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,SXM,N,116,59,71,85,0,25,73.3,78.7
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ACD,N,22,0,9,9,0,3,40.9,44.3
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ACO,N,212,110,84,166,1,19,78.3,80.5
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,TST,N,234,110,93,175,1,22,74.8,77.1
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,SXM,N,109,41,45,75,1,18,68.8,72.9
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,SXF,N,125,69,48,100,0,4,80,80.8
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,MIL,Y,0,,,,,,,
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,MIG,Y,0,,,,,,,
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,LUP,N,89,23,39,56,0,10,62.9,65.7
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,LUN,N,145,87,54,119,1,12,82.1,84.1
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,LEP,Y,6,,,,,,,
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,LEN,Y,228,,,,,,,
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,HOM,Y,1,,,,,,,
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,FOS,Y,0,,,,,,,
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETW,N,201,98,86,156,0,22,77.6,80.3
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETP,Y,1,,,,,,,
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETO,N,11,5,4,8,0,0,72.7,72.7
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETI,Y,0,,,,,,,
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETH,N,14,4,0,5,1,0,35.7,35.7
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETB,Y,7,,,,,,,
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETA,Y,0,,,,,,,
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ELN,Y,226,,,,,,,
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ELM,Y,8,,,,,,,
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,CSG,N,52,12,16,28,1,3,53.8,55.3
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ALT,Y,0,,,,,,,
