SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,COLLEGE COUNT,TECHNICAL TRAINING COUNT,MILITARY COUNT,WORKING COUNT,WORK AND SCHOOL COUNT,OTHER COUNT,COLLEGE PERCENT,TECHNICAL TRAINING PERCENT,MILITARY PERCENT,WORKING PERCENT,WORK AND SCHOOL PERCENT,OTHER PERCENT
20192020,090,NELSON,451,Nelson County,101,Thomas Nelson High School,451101,090451101,210441002324,CKEC,901,42,*,3,27,13,78,25.8,*,1.8,16.6,8.0,47.9
20192020,019,CAMPBELL,452,Newport Independent,"",---District Total---,452,"","",NKCES,905,46,*,4,35,9,*,47.4,*,4.1,36.1,9.3,*
20192020,019,CAMPBELL,452,Newport Independent,018,Newport Regional School,452018,019452018,210444002401,NKCES,905,*,*,*,*,*,*,*,*,*,*,*,*
20192020,019,CAMPBELL,452,Newport Independent,070,Newport High School,452070,019452070,210444001103,NKCES,905,46,*,4,35,9,*,47.9,*,4.2,36.5,9.4,*
20192020,091,NICHOLAS,455,Nicholas County,"",---District Total---,455,"","",CKEC,901,30,*,5,25,10,*,42.9,*,7.1,35.7,14.3,*
20192020,091,NICHOLAS,455,Nicholas County,030,Nicholas County High School,455030,091455030,210447001107,CKEC,901,30,*,5,25,10,*,42.9,*,7.1,35.7,14.3,*
20192020,092,OHIO,461,Ohio County,"",---District Total---,461,"","",GRREC,902,129,6,7,60,18,15,54.9,*,3,25.5,7.7,6.4
20192020,092,OHIO,461,Ohio County,011,Ohio County Day Treatment,461011,092461011,210450002361,GRREC,902,*,*,*,*,*,*,*,*,*,*,*,*
20192020,092,OHIO,461,Ohio County,012,Ohio County Alternative Learning Program,461012,092461012,210450002353,GRREC,902,*,*,*,3,*,*,*,*,*,75.0,*,*
20192020,092,OHIO,461,Ohio County,155,Ohio County High School,461155,092461155,210450001116,GRREC,902,128,6,7,56,18,13,56.1,*,3.1,24.6,7.9,5.7
20192020,093,OLDHAM,465,Oldham County,"",---District Total---,465,"","",OVEC,906,761,27,25,129,51,27,74.6,*,2.5,12.6,5,2.6
20192020,093,OLDHAM,465,Oldham County,012,North Oldham High School,465012,093465012,210453001953,OVEC,906,233,*,8,5,*,5,92.8,*,3.2,2.0,*,2.0
20192020,093,OLDHAM,465,Oldham County,060,Oldham County High School,465060,093465060,210453001125,OVEC,906,260,13,14,91,29,11,62.2,3.1,3.3,21.8,6.9,2.6
20192020,093,OLDHAM,465,Oldham County,080,Buckner Alternative High School,465080,093465080,210453000735,OVEC,906,*,*,*,9,*,*,*,*,*,75.0,*,*
20192020,093,OLDHAM,465,Oldham County,095,South Oldham High School,465095,093465095,210453001620,OVEC,906,268,14,*,24,20,11,79.1,4.1,*,7.1,5.9,3.2
20192020,030,DAVIESS,472,Owensboro Independent,"",---District Total---,472,"","",GRREC,902,140,9,4,95,3,35,49,3.1,1.4,33.2,1,12.2
