"Notes"	"Year"	"Year Code"	"County"	"County Code"	Births
	"2009"	"2009"	"Marion County, IN"	"18097"	15355
	"2009"	"2009"	"Jefferson County, KY"	"21111"	10429
	"2009"	"2009"	"Kent County, MI"	"26081"	8893
	"2009"	"2009"	"Jackson County, MO"	"29095"	10355
	"2009"	"2009"	"St. Louis County, MO"	"29189"	11773
	"2009"	"2009"	"St. Louis city, MO"	"29510"	5131
	"2009"	"2009"	"Douglas County, NE"	"31055"	8616
	"2009"	"2009"	"Guilford County, NC"	"37081"	6146
	"2009"	"2009"	"Mecklenburg County, NC"	"37119"	14645
	"2009"	"2009"	"Wake County, NC"	"37183"	13006
	"2009"	"2009"	"Franklin County, OH"	"39049"	18297
	"2009"	"2009"	"Hamilton County, OH"	"39061"	11350
	"2009"	"2009"	"Montgomery County, OH"	"39113"	7051
	"2009"	"2009"	"Oklahoma County, OK"	"40109"	12491
	"2009"	"2009"	"Tulsa County, OK"	"40143"	9878
	"2009"	"2009"	"Greenville County, SC"	"45045"	7723
	"2009"	"2009"	"Davidson County, TN"	"47037"	9778
	"2009"	"2009"	"Knox County, TN"	"47093"	5320
	"2009"	"2009"	"Shelby County, TN"	"47157"	14463
	"2009"	"2009"	"Richmond city, VA"	"51760"	3190
	"2010"	"2010"	"Jefferson County, AL"	"01073"	8886
	"2010"	"2010"	"Duval County, FL"	"12031"	12613
	"2010"	"2010"	"Marion County, IN"	"18097"	14590
	"2010"	"2010"	"Jefferson County, KY"	"21111"	10204
	"2010"	"2010"	"Kent County, MI"	"26081"	8591
	"2010"	"2010"	"Jackson County, MO"	"29095"	9762
	"2010"	"2010"	"St. Louis County, MO"	"29189"	11580
	"2010"	"2010"	"St. Louis city, MO"	"29510"	4793
	"2010"	"2010"	"Douglas County, NE"	"31055"	8204
	"2010"	"2010"	"Guilford County, NC"	"37081"	5997
	"2010"	"2010"	"Mecklenburg County, NC"	"37119"	13892
	"2010"	"2010"	"Wake County, NC"	"37183"	12698
	"2010"	"2010"	"Franklin County, OH"	"39049"	17796
	"2010"	"2010"	"Hamilton County, OH"	"39061"	10838
	"2010"	"2010"	"Montgomery County, OH"	"39113"	6723
	"2010"	"2010"	"Oklahoma County, OK"	"40109"	12178
	"2010"	"2010"	"Tulsa County, OK"	"40143"	9277
	"2010"	"2010"	"Greenville County, SC"	"45045"	6107
	"2010"	"2010"	"Davidson County, TN"	"47037"	9560
	"2010"	"2010"	"Knox County, TN"	"47093"	5098
	"2010"	"2010"	"Shelby County, TN"	"47157"	13791
	"2010"	"2010"	"Richmond city, VA"	"51760"	2961
	"2011"	"2011"	"Jefferson County, AL"	"01073"	8913
	"2011"	"2011"	"Duval County, FL"	"12031"	12412
	"2011"	"2011"	"Marion County, IN"	"18097"	14559
	"2011"	"2011"	"Jefferson County, KY"	"21111"	10083
	"2011"	"2011"	"Kent County, MI"	"26081"	8798
	"2011"	"2011"	"Jackson County, MO"	"29095"	9596
	"2011"	"2011"	"St. Louis County, MO"	"29189"	11811
	"2011"	"2011"	"St. Louis city, MO"	"29510"	4945
	"2011"	"2011"	"Douglas County, NE"	"31055"	8274
	"2011"	"2011"	"Guilford County, NC"	"37081"	6035
	"2011"	"2011"	"Mecklenburg County, NC"	"37119"	13734
	"2011"	"2011"	"Wake County, NC"	"37183"	12445
	"2011"	"2011"	"Franklin County, OH"	"39049"	18005
	"2011"	"2011"	"Hamilton County, OH"	"39061"	11065
	"2011"	"2011"	"Montgomery County, OH"	"39113"	6583
	"2011"	"2011"	"Oklahoma County, OK"	"40109"	11850
	"2011"	"2011"	"Tulsa County, OK"	"40143"	9195
	"2011"	"2011"	"Greenville County, SC"	"45045"	6083
	"2011"	"2011"	"Davidson County, TN"	"47037"	9601
	"2011"	"2011"	"Knox County, TN"	"47093"	5145
	"2011"	"2011"	"Shelby County, TN"	"47157"	14007
	"2011"	"2011"	"Richmond city, VA"	"51760"	2980
	"2012"	"2012"	"Jefferson County, AL"	"01073"	9018
	"2012"	"2012"	"Duval County, FL"	"12031"	12468
	"2012"	"2012"	"Marion County, IN"	"18097"	14566
	"2012"	"2012"	"Jefferson County, KY"	"21111"	9938
	"2012"	"2012"	"Kent County, MI"	"26081"	8965
	"2012"	"2012"	"Jackson County, MO"	"29095"	9642
	"2012"	"2012"	"St. Louis County, MO"	"29189"	11426
	"2012"	"2012"	"St. Louis city, MO"	"29510"	4666
	"2012"	"2012"	"Douglas County, NE"	"31055"	8420
	"2012"	"2012"	"Guilford County, NC"	"37081"	6163
	"2012"	"2012"	"Mecklenburg County, NC"	"37119"	13851
	"2012"	"2012"	"Wake County, NC"	"37183"	12308
	"2012"	"2012"	"Franklin County, OH"	"39049"	18315
	"2012"	"2012"	"Hamilton County, OH"	"39061"	11015
	"2012"	"2012"	"Montgomery County, OH"	"39113"	6754
	"2012"	"2012"	"Oklahoma County, OK"	"40109"	12095
	"2012"	"2012"	"Tulsa County, OK"	"40143"	9307
	"2012"	"2012"	"Greenville County, SC"	"45045"	6164
	"2012"	"2012"	"Davidson County, TN"	"47037"	9735
	"2012"	"2012"	"Knox County, TN"	"47093"	5286
	"2012"	"2012"	"Shelby County, TN"	"47157"	13897
	"2012"	"2012"	"Richmond city, VA"	"51760"	2937
	"2013"	"2013"	"Jefferson County, AL"	"01073"	8630
	"2013"	"2013"	"Duval County, FL"	"12031"	12570
	"2013"	"2013"	"Marion County, IN"	"18097"	14334
	"2013"	"2013"	"Jefferson County, KY"	"21111"	9958
	"2013"	"2013"	"Kent County, MI"	"26081"	8850
	"2013"	"2013"	"Jackson County, MO"	"29095"	9474
	"2013"	"2013"	"St. Louis County, MO"	"29189"	11499
	"2013"	"2013"	"St. Louis city, MO"	"29510"	4692
	"2013"	"2013"	"Douglas County, NE"	"31055"	8365
	"2013"	"2013"	"Guilford County, NC"	"37081"	6163
	"2013"	"2013"	"Mecklenburg County, NC"	"37119"	13823
	"2013"	"2013"	"Wake County, NC"	"37183"	12431
	"2013"	"2013"	"Franklin County, OH"	"39049"	18722
	"2013"	"2013"	"Hamilton County, OH"	"39061"	10767
	"2013"	"2013"	"Montgomery County, OH"	"39113"	6744
	"2013"	"2013"	"Oklahoma County, OK"	"40109"	12471
	"2013"	"2013"	"Tulsa County, OK"	"40143"	9255
	"2013"	"2013"	"Greenville County, SC"	"45045"	6053
	"2013"	"2013"	"Davidson County, TN"	"47037"	9914
	"2013"	"2013"	"Knox County, TN"	"47093"	5112
	"2013"	"2013"	"Shelby County, TN"	"47157"	13767
	"2013"	"2013"	"Richmond city, VA"	"51760"	2835
	"2014"	"2014"	"Jefferson County, AL"	"01073"	8909
	"2014"	"2014"	"Duval County, FL"	"12031"	12515
	"2014"	"2014"	"Marion County, IN"	"18097"	14637
	"2014"	"2014"	"Jefferson County, KY"	"21111"	10011
	"2014"	"2014"	"Kent County, MI"	"26081"	8922
	"2014"	"2014"	"Jackson County, MO"	"29095"	9613
	"2014"	"2014"	"St. Louis County, MO"	"29189"	11706
	"2014"	"2014"	"St. Louis city, MO"	"29510"	4678
	"2014"	"2014"	"Douglas County, NE"	"31055"	8719
	"2014"	"2014"	"Guilford County, NC"	"37081"	6081
	"2014"	"2014"	"Mecklenburg County, NC"	"37119"	14417
	"2014"	"2014"	"Wake County, NC"	"37183"	12634
	"2014"	"2014"	"Franklin County, OH"	"39049"	18842
	"2014"	"2014"	"Hamilton County, OH"	"39061"	11034
	"2014"	"2014"	"Montgomery County, OH"	"39113"	6589
	"2014"	"2014"	"Oklahoma County, OK"	"40109"	12292
	"2014"	"2014"	"Tulsa County, OK"	"40143"	9383
	"2014"	"2014"	"Greenville County, SC"	"45045"	6345
	"2014"	"2014"	"Davidson County, TN"	"47037"	10264
	"2014"	"2014"	"Knox County, TN"	"47093"	5236
	"2014"	"2014"	"Shelby County, TN"	"47157"	13797
	"2014"	"2014"	"Richmond city, VA"	"51760"	2916
	"2015"	"2015"	"Jefferson County, AL"	"01073"	8790
	"2015"	"2015"	"Duval County, FL"	"12031"	13034
	"2015"	"2015"	"Marion County, IN"	"18097"	14482
	"2015"	"2015"	"Jefferson County, KY"	"21111"	10147
	"2015"	"2015"	"Kent County, MI"	"26081"	8841
	"2015"	"2015"	"Jackson County, MO"	"29095"	9345
	"2015"	"2015"	"St. Louis County, MO"	"29189"	11672
	"2015"	"2015"	"St. Louis city, MO"	"29510"	4569
	"2015"	"2015"	"Douglas County, NE"	"31055"	8713
	"2015"	"2015"	"Guilford County, NC"	"37081"	6083
	"2015"	"2015"	"Mecklenburg County, NC"	"37119"	14855
	"2015"	"2015"	"Wake County, NC"	"37183"	12859
	"2015"	"2015"	"Franklin County, OH"	"39049"	19120
	"2015"	"2015"	"Hamilton County, OH"	"39061"	10958
	"2015"	"2015"	"Montgomery County, OH"	"39113"	6655
	"2015"	"2015"	"Oklahoma County, OK"	"40109"	12508
	"2015"	"2015"	"Tulsa County, OK"	"40143"	9651
	"2015"	"2015"	"Greenville County, SC"	"45045"	6423
	"2015"	"2015"	"Davidson County, TN"	"47037"	10276
	"2015"	"2015"	"Knox County, TN"	"47093"	5345
	"2015"	"2015"	"Shelby County, TN"	"47157"	13435
	"2015"	"2015"	"Richmond city, VA"	"51760"	3106
	"2016"	"2016"	"Jefferson County, AL"	"01073"	8649
	"2016"	"2016"	"Duval County, FL"	"12031"	13286
	"2016"	"2016"	"Marion County, IN"	"18097"	14285
	"2016"	"2016"	"Jefferson County, KY"	"21111"	9889
	"2016"	"2016"	"Kent County, MI"	"26081"	8803
	"2016"	"2016"	"Jackson County, MO"	"29095"	9402
	"2016"	"2016"	"St. Louis County, MO"	"29189"	11673
	"2016"	"2016"	"St. Louis city, MO"	"29510"	4313
	"2016"	"2016"	"Douglas County, NE"	"31055"	8829
	"2016"	"2016"	"Guilford County, NC"	"37081"	6257
	"2016"	"2016"	"Mecklenburg County, NC"	"37119"	14877
	"2016"	"2016"	"Wake County, NC"	"37183"	13007
	"2016"	"2016"	"Franklin County, OH"	"39049"	19018
	"2016"	"2016"	"Hamilton County, OH"	"39061"	10800
	"2016"	"2016"	"Montgomery County, OH"	"39113"	6626
	"2016"	"2016"	"Oklahoma County, OK"	"40109"	12191
	"2016"	"2016"	"Tulsa County, OK"	"40143"	9618
	"2016"	"2016"	"Greenville County, SC"	"45045"	6296
	"2016"	"2016"	"Davidson County, TN"	"47037"	9799
	"2016"	"2016"	"Knox County, TN"	"47093"	5248
	"2016"	"2016"	"Shelby County, TN"	"47157"	13159
	"2016"	"2016"	"Richmond city, VA"	"51760"	3024
	"2017"	"2017"	"Jefferson County, AL"	"01073"	8693
	"2017"	"2017"	"Duval County, FL"	"12031"	13174
	"2017"	"2017"	"Marion County, IN"	"18097"	14380
	"2017"	"2017"	"Jefferson County, KY"	"21111"	9908
	"2017"	"2017"	"Kent County, MI"	"26081"	8691
	"2017"	"2017"	"Jackson County, MO"	"29095"	9291
	"2017"	"2017"	"St. Louis County, MO"	"29189"	11366
	"2017"	"2017"	"St. Louis city, MO"	"29510"	4131
	"2017"	"2017"	"Douglas County, NE"	"31055"	8303
	"2017"	"2017"	"Guilford County, NC"	"37081"	6212
	"2017"	"2017"	"Mecklenburg County, NC"	"37119"	14745
	"2017"	"2017"	"Wake County, NC"	"37183"	12669
	"2017"	"2017"	"Franklin County, OH"	"39049"	18865
	"2017"	"2017"	"Hamilton County, OH"	"39061"	10819
	"2017"	"2017"	"Montgomery County, OH"	"39113"	6726
	"2017"	"2017"	"Oklahoma County, OK"	"40109"	11547
	"2017"	"2017"	"Tulsa County, OK"	"40143"	9113
	"2017"	"2017"	"Greenville County, SC"	"45045"	6407
	"2017"	"2017"	"Davidson County, TN"	"47037"	10053
	"2017"	"2017"	"Knox County, TN"	"47093"	5186
	"2017"	"2017"	"Shelby County, TN"	"47157"	13096
	"2017"	"2017"	"Richmond city, VA"	"51760"	3029
"---"
"Dataset: Natality, 2007-2017"
"Query Parameters:"
"Title:"
"Age of Mother 9: All"
"Birthplace: All"
"Birth Weight 12: 499 grams or less, 500 - 999 grams, 1000 - 1499 grams, 1500 - 1999 grams, 2000 - 2499 grams, 2500 - 2999 grams,"
"3000 - 3499 grams, 3500 - 3999 grams, 4000 - 4499 grams, 4500 - 4999 grams, 5000 - 8165 grams"
"Bridged Race: All"
"Chronic Hypertension: All"
"Delivery Method: All"
"Diabetes: All"
"Eclampsia: All"
"Education: All"
"Expanded Hispanic Origin: All"
"Gender: All"
"Hispanic Origin: All"
"Live Birth Order: All"
"LMP Gestational Age 11: All"
"Marital Status: All"
"Medical Attendant: All"
"Month: All"
"Month Prenatal Care Began: All"
"OE Gestational Age 11: All"
"Plurality or Multiple Birth: All"
"Pregnancy-associated Hypertension: All"
"Single Race: All"
"States: Jefferson County, AL (01073), Duval County, FL (12031), Marion County, IN (18097), Jefferson County, KY (21111), Kent"
"County, MI (26081), Jackson County, MO (29095), St. Louis County, MO (29189), St. Louis city, MO (29510), Douglas County, NE"
"(31055), Guilford County, NC (37081), Mecklenburg County, NC (37119), Wake County, NC (37183), Franklin County, OH (39049),"
"Hamilton County, OH (39061), Montgomery County, OH (39113), Oklahoma County, OK (40109), Tulsa County, OK (40143), Greenville"
"County, SC (45045), Davidson County, TN (47037), Knox County, TN (47093), Shelby County, TN (47157), Richmond city, VA (51760)"
"Tobacco Use: All"
"Weekday: All"
"Year: All, 2007 to 2017"
"Group By: Year, County"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information."
"---"
"Query Date: Jan 4, 2019 4:31:31 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics, Natality public-use data 2007-2017, on CDC"
"WONDER Online Database, October 2018. Accessed at http://wonder.cdc.gov/natality-current.html on Jan 4, 2019 4:31:31 PM"
"---"
Caveats:
"1. Each birth record represents one living baby."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"3. For birth weight data shown in WONDER before May 8, 2015, 21 births that occurred in year 2011 were erroneously reported in"
"the birth weight category 5000-8165 grams, instead of the ""Not stated"" birth weight category. These 21 births are now reported"
"in ""Not stated"" birth weight category."
"4. As a result of population changes the following counties do not have data available for all years.<br/> Before 2014 the data"
"for the following counties was recoded to the ""Unidentified Counties"" category within the state of the county because they did"
"not meet minimum population standards. Houston County, AL (01069); Navajo County, AZ (04017); Faulkner County, AR (05045);"
"Saline County, AR (05125); Bartow County, GA (13015); Carroll County, GA (13045); Columbia County, GA (13073); Coweta County, GA"
"(13077); Douglas County, GA (13097); Fayette County, GA (13113); Forsyth County, GA (13117); Lowndes County, GA (13185);"
"Paulding County, GA (13223); Whitfield County, GA (13313); Bonneville County, ID (16019); DeKalb County, IL (17037); Kendall"
"County, IL (17093); Clark County, IN (18019); Douglas County, KS (20045); Boone County, KY (21015); Hardin County, KY (21093);"
"Warren County, KY (21227); Ascension Parish, LA (22005); Bossier Parish, LA (22015); Livingston Parish, LA (22063); Cecil"
"County, MD (24015); St. Mary's County, MD (24037); Scott County, MN (27139); Wright County, MN (27171); Franklin County, MO"
"(29071); Missoula County, MT (30063); Sandoval County, NM (35043); Tompkins County, NY (36109); Brunswick County, NC (37019);"
"Craven County, NC (37049); Harnett County, NC (37085); Henderson County, NC (37089); Miami County, OH (39109); Canadian County,"
"OK (40017); Adams County, PA (42001); Dorchester County, SC (45035); Pennington County, SD (46103); Wilson County, TN (47189);"
"Comal County, TX (48091); Guadalupe County, TX (48187); Hays County, TX (48209); Kaufman County, TX (48257); Parker County, TX"
"(48367); Cache County, UT (49005); Washington County, UT (49053); Spotsylvania County, VA (51177); Stafford County, VA (51179);"
"Cowlitz County, WA (53015); Berkeley County, WV (54003); Fond du Lac County, WI (55039); Walworth County, WI (55127). <br/>"
"After 2013 the data for the following counties was recoded to the ""Unidentified Counties"" category within the state of the"
"county because they did not meet minimum population standards. Cape May County, NJ (34009); Portsmouth city, VA (51740)."
"5. Data for some counties in New York and Virginia have been revised for 2014 births based on updated residence population. More"
"information: http://wonder.cdc.gov/wonder/help/Natality.html#county_2014."
"6. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis County (FIPS code 29189)."
