"GEO_ID","NAME","B20017I_001E","B20017I_001M","B20017I_002E","B20017I_002M","B20017I_003E","B20017I_003M","B20017I_004E","B20017I_004M","B20017I_005E","B20017I_005M","B20017I_006E","B20017I_006M","B20017I_007E","B20017I_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other"
"0500000US05145","White County, Arkansas","16320","1020","18946","6775","22874","6878","-","**","15691","2602","-","**","8319","6296"
"0500000US06001","Alameda County, California","39402","2083","44943","3445","51238","906","14852","2017","31655","2534","44202","2903","12305","1413"
"0500000US06007","Butte County, California","23804","4278","29861","5360","43024","9486","9785","4059","18478","2679","31663","2290","9286","2925"
"0500000US06013","Contra Costa County, California","33437","2617","39546","3818","47962","4977","16955","2824","27334","1943","40519","2317","12932","1643"
"0500000US06017","El Dorado County, California","32254","3302","40614","9540","50525","10138","12102","13972","30274","3569","32093","12124","18298","5101"
"0500000US06019","Fresno County, California","23784","1015","27807","1609","36287","1154","12063","869","20324","1154","32116","1416","10990","613"
"0500000US06023","Humboldt County, California","20383","2033","20764","3833","38291","21224","16749","7103","19888","3549","27143","6413","16548","8005"
"0500000US06025","Imperial County, California","21722","1622","30070","6131","48645","7279","11776","2809","16771","1314","37162","4235","11839","1267"
"0500000US06029","Kern County, California","25360","869","29615","2221","36314","1316","17112","1528","20242","1063","28427","2501","12895","1258"
"0500000US06031","Kings County, California","26187","2204","30390","4232","36976","5785","16119","5289","22371","2286","32268","3688","14313","4979"
"0500000US06033","Lake County, California","25319","10654","31082","11097","37114","9672","20254","3950","21134","8891","27409","33158","10695","5800"
"0500000US06037","Los Angeles County, California","26779","221","30588","250","36012","368","14328","582","23020","349","31916","376","11672","199"
"0500000US06039","Madera County, California","23507","2433","27277","2197","36183","4929","13215","1700","17845","3743","30176","4273","11976","2048"
"0500000US06041","Marin County, California","36602","10868","42181","9868","54980","13054","18582","15063","28284","8256","44955","8366","14989","3624"
"0500000US06045","Mendocino County, California","22334","3183","26969","5808","29512","4974","20679","3701","18305","4439","24152","6730","8649","2205"
"0500000US06047","Merced County, California","25832","1329","30115","1485","36969","2127","14505","1664","19448","3083","34142","4479","10266","1720"
"0500000US06053","Monterey County, California","25512","902","27864","1998","34448","2806","17881","1804","21173","855","32342","2990","15088","1557"
"0500000US06055","Napa County, California","26517","3878","30598","4883","42079","7589","11665","9481","20578","5449","35548","6059","10905","3007"
"0500000US06059","Orange County, California","28647","1220","32357","842","40367","859","14613","1275","24143","925","32553","2222","11647","574"
"0500000US06061","Placer County, California","33142","3483","37292","7743","51917","6534","10327","7875","30004","5960","40017","7417","10021","1817"
"0500000US06065","Riverside County, California","27802","999","32010","746","40663","830","13016","1591","23425","1127","31698","684","12719","941"
"0500000US06067","Sacramento County, California","29508","1711","32095","1280","40660","1111","12045","1133","25221","1729","35435","2003","12627","1515"
"0500000US06071","San Bernardino County, California","29113","1019","32708","1652","41557","880","12879","1157","22931","904","33031","1483","11366","543"
"0500000US06073","San Diego County, California","28417","1013","31511","510","37854","2262","15168","1192","23850","1008","34016","1480","12112","555"
"0500000US06075","San Francisco County, California","39903","3043","41986","2909","60172","8733","18689","3459","33816","4276","51730","6438","12489","3117"
"0500000US06077","San Joaquin County, California","29467","2788","32554","3948","38422","2786","13108","3759","22260","1804","32905","3984","11894","1329"
"0500000US06079","San Luis Obispo County, California","26112","1852","27766","6031","36558","5689","12379","2589","23341","2084","35592","4697","11577","2674"
"0500000US06081","San Mateo County, California","31751","987","36886","5597","45008","6246","13074","5301","29534","1566","37616","3815","11956","1324"
"0500000US06083","Santa Barbara County, California","25255","1146","29605","2645","34950","2410","11600","1730","21244","939","30495","2372","10916","1092"
"0500000US06085","Santa Clara County, California","34592","1845","40109","2946","47886","3135","15561","1826","29290","2573","41400","1220","13330","1405"
"0500000US06087","Santa Cruz County, California","23653","2392","30085","6071","42217","5304","16179","4836","17887","2412","31795","6252","9918","3044"
"0500000US06089","Shasta County, California","24350","4925","36000","12473","43638","4615","22941","3813","16312","1631","35681","18626","10407","1848"
"0500000US06095","Solano County, California","35081","3242","40463","1402","45920","5591","16462","2472","27768","3033","39950","5823","11041","2457"
"0500000US06097","Sonoma County, California","27194","1933","30966","1728","40421","2394","16548","2277","23476","2969","33302","4483","11298","2142"
"0500000US06099","Stanislaus County, California","28667","2071","33080","3329","42050","1834","12480","2690","22556","2485","34377","2458","9911","1400"
"0500000US06101","Sutter County, California","31536","5834","34736","6926","37406","4654","21423","6009","27041","9137","36691","2277","17081","8714"
"0500000US06107","Tulare County, California","22290","1168","26423","1456","36403","1513","11658","565","19280","2445","29949","2779","12000","742"
"0500000US06111","Ventura County, California","27196","1055","30560","1199","37493","2167","15461","1515","24763","1374","35964","1358","13368","1377"
"0500000US06113","Yolo County, California","24064","2689","31098","3736","40170","7068","15671","2612","19455","2169","28084","7905","9539","2371"
"0500000US06115","Yuba County, California","26350","1799","26992","2380","32431","15216","12865","6952","22607","8000","32446","11274","10491","3113"
"0500000US08001","Adams County, Colorado","31041","820","35020","2463","40142","2552","10983","5233","26593","1406","32109","1338","11569","3082"
"0500000US08005","Arapahoe County, Colorado","29877","1733","32487","3833","38736","2867","12056","1814","24745","2934","35815","5972","12282","2461"
"0500000US08013","Boulder County, Colorado","30555","2429","34252","5537","45823","9190","11651","5114","24436","2291","33362","4460","11512","4684"
"0500000US08014","Broomfield County, Colorado","50323","14332","66572","6022","66784","14477","-","**","38051","2495","39977","13998","6042","4052"
"0500000US08031","Denver County, Colorado","30735","1404","35953","1471","41321","1143","17508","3179","24097","2296","33055","1725","10784","1511"
"0500000US08035","Douglas County, Colorado","40280","5791","44300","9179","65872","9419","10327","3576","35476","4558","46004","3742","14363","7670"
"0500000US08041","El Paso County, Colorado","29534","1755","35277","2720","41758","3380","18270","4275","22261","1903","35204","3713","11232","1751"
"0500000US08059","Jefferson County, Colorado","33932","3966","37253","3352","40337","2912","15615","9006","29187","5991","40841","3870","10803","1573"
"0500000US08069","Larimer County, Colorado","26533","1687","36181","7478","46580","2015","9689","2892","21669","3949","30787","5479","10855","2735"
"0500000US08077","Mesa County, Colorado","22980","5748","28851","7020","37251","3190","21035","1322","13067","11084","40715","11221","4198","1932"
"0500000US08101","Pueblo County, Colorado","26719","2994","30395","3828","37668","3590","10313","2316","24270","3500","41288","7985","12092","3394"
"0500000US08123","Weld County, Colorado","30980","915","32482","5805","42518","4447","15675","7515","25617","2753","36349","3537","7432","2645"
"0500000US09001","Fairfield County, Connecticut","27014","1938","30763","1004","40265","2783","16640","2238","21032","1421","34905","2577","10761","1128"
"0500000US09003","Hartford County, Connecticut","27226","1996","30370","1418","36843","3058","11164","872","23709","3627","36473","2351","11615","1557"
"0500000US09005","Litchfield County, Connecticut","30308","3654","36840","13924","40383","16178","15769","40280","28191","9089","30986","3128","12800","9692"
"0500000US09007","Middlesex County, Connecticut","39345","3952","42238","7160","46416","6154","17966","14070","37690","8019","40388","15259","11620","3878"
"0500000US09009","New Haven County, Connecticut","27152","2064","30749","1352","41361","4883","11559","1034","22712","2624","33962","3466","10089","1221"
"0500000US09011","New London County, Connecticut","24361","2608","26720","6068","35660","10245","16606","3521","21275","3788","34284","4221","8653","3571"
"0500000US09013","Tolland County, Connecticut","32476","16786","36635","16120","41889","25489","12951","4716","27468","24943","52069","39532","22215","20259"
"0500000US09015","Windham County, Connecticut","20486","5914","19150","10929","37992","17858","11108","7427","21486","5923","27415","18830","8711","6140"
"0500000US10001","Kent County, Delaware","35362","7767","40494","8145","46813","13681","11322","20089","22992","8673","45183","30638","11556","10715"
"0500000US10003","New Castle County, Delaware","28481","2631","34687","3992","42333","6629","15875","5399","20067","4171","35825","7014","9194","4291"
"0500000US10005","Sussex County, Delaware","26159","1174","28006","5303","40955","16118","10378","7829","23357","5938","25561","2975","11677","3716"
"0500000US11001","District of Columbia, District of Columbia","46149","7139","47135","8739","65715","6864","18482","9376","37348","19875","67175","14009","11128","2877"
"0500000US12001","Alachua County, Florida","31459","5444","34381","10468","42399","7154","7235","9493","30043","14656","39434","7927","4767","3831"
"0500000US12005","Bay County, Florida","28813","10430","34223","14729","46214","14686","13241","1532","22900","15414","34654","13966","14083","7416"
"0500000US12009","Brevard County, Florida","31054","3335","35688","5232","39982","10233","10501","8768","24777","4923","36471","9235","11302","3401"
"0500000US12011","Broward County, Florida","31206","769","35180","1886","42115","1320","11431","674","26866","1396","37100","1833","11620","655"
"0500000US12015","Charlotte County, Florida","20403","11576","20407","15083","31763","14233","5146","2649","20344","21030","43091","9918","3145","6854"
"0500000US12017","Citrus County, Florida","30340","8278","27849","7835","30822","7151","2,500-","***","30753","24705","31726","1479","10448","36554"
"0500000US12019","Clay County, Florida","33670","5199","33676","6081","36206","17964","10475","6831","33665","10667","37039","22688","13365","18322"
"0500000US12021","Collier County, Florida","25301","3291","30212","2690","31702","1021","18373","5138","16681","2708","30416","3427","10164","1962"
"0500000US12023","Columbia County, Florida","31628","9831","32143","9867","32312","10045","24688","82102","30677","28308","30677","28308","-","**"
"0500000US12031","Duval County, Florida","27778","3281","30157","4978","36984","5337","12617","3004","26536","3629","35102","4939","15171","5018"
"0500000US12033","Escambia County, Florida","26231","7707","35596","13306","50844","8891","11954","5456","21463","4025","31071","5309","9974","4507"
"0500000US12035","Flagler County, Florida","31416","10499","26359","8993","28362","9035","-","**","38740","9825","42031","29032","12106","10653"
"0500000US12053","Hernando County, Florida","27620","4699","29371","6196","36983","13038","20461","9859","26346","7939","35082","6331","11687","1326"
"0500000US12055","Highlands County, Florida","24641","4461","25717","6096","31983","6701","11481","7984","22127","7609","27982","8708","10592","9477"
"0500000US12057","Hillsborough County, Florida","26266","763","30192","1431","37227","1986","12269","1791","22849","1179","30545","1344","12043","834"
"0500000US12061","Indian River County, Florida","29408","9346","29932","7521","35499","6344","22877","6831","24486","17534","32658","20179","16989","32677"
"0500000US12069","Lake County, Florida","28095","3033","32260","2963","35468","4224","10157","6161","23681","1786","29105","6184","10540","4292"
"0500000US12071","Lee County, Florida","26118","1498","30178","2350","33207","3845","13160","3384","21296","1794","30294","3601","10887","1443"
"0500000US12073","Leon County, Florida","20963","3803","23917","3654","40744","11640","8627","3267","13861","4429","36867","3987","5512","2215"
"0500000US12081","Manatee County, Florida","26031","2087","30677","2189","33177","5849","16653","5310","21420","1584","30054","6866","9295","3350"
"0500000US12083","Marion County, Florida","28357","4495","29086","4484","31148","6547","20388","13714","26972","5616","33293","3683","12024","8170"
"0500000US12085","Martin County, Florida","29873","7113","30319","8952","36093","10264","11764","9024","29330","11089","40401","10023","6822","7630"
"0500000US12086","Miami-Dade County, Florida","28914","685","31728","418","36750","649","13407","957","25043","593","31832","574","11897","383"
"0500000US12087","Monroe County, Florida","26032","3268","27117","4100","30537","3055","11570","1249","22151","4793","30535","9153","13876","4522"
"0500000US12089","Nassau County, Florida","27151","16436","38941","43004","52162","57748","16238","5990","26267","9221","27300","20758","10593","7580"
"0500000US12091","Okaloosa County, Florida","23231","3694","21031","3003","31491","18278","7493","1859","25800","1701","35766","8525","11528","9358"
"0500000US12095","Orange County, Florida","25856","1221","28339","2048","34711","3289","12479","3478","23294","1366","30764","1346","11560","1112"
"0500000US12097","Osceola County, Florida","22187","928","23279","2335","31358","2348","11780","2184","21450","1115","26883","3742","11643","1628"
"0500000US12099","Palm Beach County, Florida","26260","920","30240","1590","35234","1948","15488","2218","21801","1209","31804","1579","11331","785"
"0500000US12101","Pasco County, Florida","28964","2455","37546","6939","42128","3806","14186","2161","24786","2539","31490","5435","11230","2125"
"0500000US12103","Pinellas County, Florida","26820","1622","27584","3490","32177","1954","11228","1155","25806","2451","31267","1935","10950","1097"
"0500000US12105","Polk County, Florida","27047","1804","29902","2727","32409","4003","11849","1964","23163","2789","30235","3081","12029","2012"
"0500000US12107","Putnam County, Florida","27963","12193","32426","32609","37266","34312","-","**","21178","8746","28018","21081","8760","468"
"0500000US12109","St. Johns County, Florida","23304","11240","25840","13256","28239","33846","25017","22623","21215","12382","53467","25337","11471","2755"
"0500000US12111","St. Lucie County, Florida","27131","3528","30579","4476","36492","6505","6498","2334","22218","3814","29448","4337","11815","4499"
"0500000US12113","Santa Rosa County, Florida","31492","5244","39467","7257","39348","10179","40290","150103","20118","7151","17985","43039","20544","11377"
"0500000US12115","Sarasota County, Florida","25265","4526","23547","5077","30484","4109","10660","1830","25899","3970","31478","3356","11609","2142"
