GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 18 years:,Margin of Error; Under 18 years:,Estimate; Under 18 years: - With health insurance coverage,Margin of Error; Under 18 years: - With health insurance coverage,Estimate; Under 18 years: - No health insurance coverage,Margin of Error; Under 18 years: - No health insurance coverage,Estimate; 18 to 64 years:,Margin of Error; 18 to 64 years:,Estimate; 18 to 64 years: - With health insurance coverage,Margin of Error; 18 to 64 years: - With health insurance coverage,Estimate; 18 to 64 years: - No health insurance coverage,Margin of Error; 18 to 64 years: - No health insurance coverage,Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - With health insurance coverage,Margin of Error; 65 years and over: - With health insurance coverage,Estimate; 65 years and over: - No health insurance coverage,Margin of Error; 65 years and over: - No health insurance coverage
0500000US41047,41047,"Marion County, Oregon",83050,297,33510,109,31618,876,1892,870,46965,277,31882,2807,15083,2798,2575,3,2083,469,492,469
0500000US41051,41051,"Multnomah County, Oregon",86542,388,30206,26,28879,1080,1327,1079,53737,382,38411,2659,15326,2731,2599,3,2306,329,293,329
0500000US41053,41053,"Polk County, Oregon",10115,19,3974,2,3581,437,393,437,5628,375,4268,993,1360,878,513,374,513,374,0,197
0500000US41059,41059,"Umatilla County, Oregon",19221,293,7678,5,7591,142,87,142,10173,364,7647,928,2526,872,1370,279,1370,279,0,197
0500000US41067,41067,"Washington County, Oregon",90865,533,34818,4,32655,1222,2163,1222,53440,533,33803,3155,19637,3077,2607,3,2242,389,365,389
0500000US41071,41071,"Yamhill County, Oregon",15590,343,5909,4,5632,350,277,349,9125,447,5790,1274,3335,1197,556,449,209,192,347,483
0500000US42001,42001,"Adams County, Pennsylvania",6707,2,2700,4,2664,45,36,45,3801,180,2638,562,1163,579,206,180,206,180,0,168
0500000US42003,42003,"Allegheny County, Pennsylvania",22650,313,6860,13,6620,307,240,307,14525,291,12544,960,1981,1061,1265,147,1222,159,43,70
0500000US42011,42011,"Berks County, Pennsylvania",76106,451,29392,5,28048,1009,1344,1009,43390,441,31135,1933,12255,1886,3324,119,3283,137,41,72
0500000US42017,42017,"Bucks County, Pennsylvania",30426,191,10479,82,10073,350,406,339,18409,77,13671,1269,4738,1267,1538,126,1538,126,0,168
0500000US42019,42019,"Butler County, Pennsylvania",2466,66,835,4,835,4,0,168,1515,134,1149,280,366,266,116,107,116,107,0,168
0500000US42021,42021,"Cambria County, Pennsylvania",1587,242,660,31,660,31,0,168,770,244,598,257,172,165,157,136,157,136,0,168
0500000US42025,42025,"Carbon County, Pennsylvania",2633,2,972,2,972,2,0,168,1584,63,1082,302,502,304,77,63,77,63,0,168
0500000US42029,42029,"Chester County, Pennsylvania",35968,149,12980,120,10466,989,2514,984,21868,331,9699,1647,12169,1740,1120,307,974,295,146,178
0500000US42041,42041,"Cumberland County, Pennsylvania",7771,236,2761,24,2691,117,70,114,4779,257,3819,421,960,374,231,178,231,178,0,168
0500000US42043,42043,"Dauphin County, Pennsylvania",22363,145,8763,5,8287,592,476,593,12936,314,9207,1094,3729,1080,664,291,664,291,0,168
0500000US42045,42045,"Delaware County, Pennsylvania",19056,532,6531,101,5996,418,535,409,11181,647,7929,1196,3252,1080,1344,356,1128,349,216,305
0500000US42049,42049,"Erie County, Pennsylvania",10298,379,4328,74,4235,103,93,82,5509,327,4221,671,1288,597,461,216,461,216,0,168
0500000US42055,42055,"Franklin County, Pennsylvania",7386,256,3160,45,2496,715,664,709,3851,306,2426,787,1425,679,375,180,375,180,0,168
0500000US42069,42069,"Lackawanna County, Pennsylvania",12977,241,5361,9,4371,891,990,891,7146,322,4515,840,2631,816,470,255,470,255,0,168
0500000US42071,42071,"Lancaster County, Pennsylvania",51911,278,19309,17,16670,981,2639,981,30067,278,22179,1519,7888,1430,2535,4,2287,332,248,332
0500000US42075,42075,"Lebanon County, Pennsylvania",15482,77,6060,3,5791,372,269,372,8830,318,7055,788,1775,717,592,314,592,314,0,168
0500000US42077,42077,"Lehigh County, Pennsylvania",75740,495,27502,3,25150,1142,2352,1143,44649,489,32286,1932,12363,1916,3589,50,3589,50,0,168
0500000US42079,42079,"Luzerne County, Pennsylvania",28030,373,10867,3,9595,724,1272,724,16123,446,11918,1290,4205,1224,1040,229,984,241,56,83
0500000US42089,42089,"Monroe County, Pennsylvania",24084,212,7677,3,7490,260,187,261,14457,644,12145,935,2312,970,1950,622,1950,622,0,168
0500000US42091,42091,"Montgomery County, Pennsylvania",38395,206,13750,72,12711,639,1039,631,22970,179,15285,1508,7685,1472,1675,3,1675,3,0,168
0500000US42095,42095,"Northampton County, Pennsylvania",35889,235,11992,79,11514,379,478,369,21806,221,15654,1369,6152,1370,2091,3,2091,3,0,168
0500000US42097,42097,"Northumberland County, Pennsylvania",2539,184,1135,2,894,249,241,249,1191,255,699,239,492,276,213,204,213,204,0,168
0500000US42101,42101,"Philadelphia County, Pennsylvania",211500,531,70135,86,66069,1614,4066,1614,130162,492,91684,3914,38478,3924,11203,149,10982,301,221,255
0500000US42107,42107,"Schuylkill County, Pennsylvania",4383,247,1854,5,1609,260,245,261,2268,309,1455,452,813,398,261,214,261,214,0,168
