GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate or professional degree,Margin of Error; Male: - Graduate or professional degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate or professional degree,Margin of Error; Female: - Graduate or professional degree
0500000US27141,27141,"Sherburne County, Minnesota",55237,20,27835,20,248,210,1686,575,7229,1300,1213,519,7547,1067,2835,793,4933,933,2144,666,27402,141,289,223,627,438,5857,1122,1015,485,6957,1226,3437,801,6496,1010,2724,828
0500000US27145,27145,"Stearns County, Minnesota",87605,141,43779,141,1047,298,2024,543,12518,1073,1064,357,9968,1132,4930,758,8368,1168,3860,781,43826,141,730,244,820,286,11549,1055,422,179,10314,1098,5917,785,9415,1145,4659,848
0500000US27163,27163,"Washington County, Minnesota",145966,83,70630,83,536,332,1512,562,13765,1337,2541,655,14337,1610,7782,1275,19786,1760,10371,1460,75336,141,655,422,1627,637,14634,1823,1341,540,14880,1450,9408,1236,22175,1751,10616,1472
0500000US27171,27171,"Wright County, Minnesota",79032,141,39359,141,227,133,2291,715,10194,1084,1592,598,9328,1178,5228,1052,8169,1174,2330,744,39673,141,133,153,1700,571,9293,1010,695,285,10853,1361,5548,800,9072,1127,2379,671
0500000US28033,28033,"DeSoto County, Mississippi",78679,206,37746,206,1199,614,2844,908,9004,1297,2284,826,11461,1368,3002,761,5487,1094,2465,674,40933,206,590,319,3586,797,8708,984,2861,814,10261,1370,5004,1007,6634,1207,3289,931
0500000US28035,28035,"Forrest County, Mississippi",28628,206,13883,206,643,371,597,370,2567,892,765,499,4052,953,546,367,2639,656,2074,607,14745,206,480,345,1052,424,3344,754,770,547,3234,827,1071,517,2648,657,2146,613
0500000US28047,28047,"Harrison County, Mississippi",90406,275,44024,272,2313,800,3692,1260,9370,1544,3818,1040,11715,1870,2738,806,7656,1548,2722,670,46382,33,1193,476,3846,1050,11361,1544,3359,953,11434,1516,3699,844,6864,1343,4626,950
0500000US28049,28049,"Hinds County, Mississippi",46740,115,22123,115,757,455,818,455,4511,1104,763,330,4470,796,1042,445,5876,990,3886,860,24617,206,393,311,693,403,3930,987,997,478,6034,1078,1445,571,6597,1060,4528,1094
0500000US28059,28059,"Jackson County, Mississippi",68316,206,33298,206,529,428,2431,855,7226,1561,2286,713,9798,1710,3479,1043,4180,1067,3369,1045,35018,206,1164,597,1907,749,8369,1322,1916,644,7889,1294,4473,1221,6117,1158,3183,1041
0500000US28067,28067,"Jones County, Mississippi",31077,125,14940,206,881,500,1427,584,4431,863,1233,595,2741,828,1323,571,2461,757,443,260,16137,125,901,415,1231,557,4129,885,768,476,3819,775,1699,590,2049,688,1541,479
