"GEO_ID","NAME","B15002B_001E","B15002B_001M","B15002B_002E","B15002B_002M","B15002B_003E","B15002B_003M","B15002B_004E","B15002B_004M","B15002B_005E","B15002B_005M","B15002B_006E","B15002B_006M","B15002B_007E","B15002B_007M","B15002B_008E","B15002B_008M","B15002B_009E","B15002B_009M","B15002B_010E","B15002B_010M","B15002B_011E","B15002B_011M","B15002B_012E","B15002B_012M","B15002B_013E","B15002B_013M","B15002B_014E","B15002B_014M","B15002B_015E","B15002B_015M","B15002B_016E","B15002B_016M","B15002B_017E","B15002B_017M","B15002B_018E","B15002B_018M","B15002B_019E","B15002B_019M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Less than 9th grade","Margin of Error!!Total!!Male!!Less than 9th grade","Estimate!!Total!!Male!!9th to 12th grade, no diploma","Margin of Error!!Total!!Male!!9th to 12th grade, no diploma","Estimate!!Total!!Male!!Regular high school diploma","Margin of Error!!Total!!Male!!Regular high school diploma","Estimate!!Total!!Male!!GED or alternative credential","Margin of Error!!Total!!Male!!GED or alternative credential","Estimate!!Total!!Male!!Some college, no degree","Margin of Error!!Total!!Male!!Some college, no degree","Estimate!!Total!!Male!!Associate's degree","Margin of Error!!Total!!Male!!Associate's degree","Estimate!!Total!!Male!!Bachelor's degree","Margin of Error!!Total!!Male!!Bachelor's degree","Estimate!!Total!!Male!!Graduate or professional degree","Margin of Error!!Total!!Male!!Graduate or professional degree","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Less than 9th grade","Margin of Error!!Total!!Female!!Less than 9th grade","Estimate!!Total!!Female!!9th to 12th grade, no diploma","Margin of Error!!Total!!Female!!9th to 12th grade, no diploma","Estimate!!Total!!Female!!Regular high school diploma","Margin of Error!!Total!!Female!!Regular high school diploma","Estimate!!Total!!Female!!GED or alternative credential","Margin of Error!!Total!!Female!!GED or alternative credential","Estimate!!Total!!Female!!Some college, no degree","Margin of Error!!Total!!Female!!Some college, no degree","Estimate!!Total!!Female!!Associate's degree","Margin of Error!!Total!!Female!!Associate's degree","Estimate!!Total!!Female!!Bachelor's degree","Margin of Error!!Total!!Female!!Bachelor's degree","Estimate!!Total!!Female!!Graduate or professional degree","Margin of Error!!Total!!Female!!Graduate or professional degree"
"0500000US06037","Los Angeles County, California","575282","5223","265372","2876","6288","1113","21169","2614","65915","4116","5917","1287","76917","4381","22745","2808","45104","3672","21317","2299","309910","3302","7135","1093","19524","2546","60819","4189","4580","1057","93334","4761","33790","3489","54868","3910","35860","2893"
"0500000US06047","Merced County, California","5213","692","2735","636","52","81","248","209","1277","604","233","245","826","663","85","74","14","26","0","211","2478","278","0","211","265","276","646","402","0","211","514","311","528","327","204","185","321","267"
"0500000US06053","Monterey County, California","8170","891","5703","660","72","93","834","391","1164","546","361","229","1828","565","738","455","537","403","169","172","2467","527","0","211","183","215","273","256","0","211","589","455","938","586","240","246","244","234"
"0500000US06059","Orange County, California","41930","1937","20955","1279","1170","996","996","576","2736","835","319","246","5124","1226","2369","767","5755","1109","2486","730","20975","1158","748","688","477","400","2219","861","143","171","6700","1302","3504","1341","4717","1201","2467","828"
"0500000US06065","Riverside County, California","104937","2340","51885","1401","1797","708","3755","961","13033","2122","2140","885","15897","2282","3976","1281","7056","1819","4231","1068","53052","1934","670","319","2382","1014","12189","2061","1164","547","16808","2745","5680","1306","9596","1775","4563","1211"
"0500000US06067","Sacramento County, California","100303","1926","48043","1398","1073","472","4063","1485","11572","2019","2268","967","12981","1809","4859","1597","8182","1478","3045","844","52260","1348","838","462","3280","1059","10578","2046","1576","708","17056","1809","5655","1323","9059","1809","4218","999"
"0500000US06071","San Bernardino County, California","113540","3244","53135","1683","967","641","5572","1058","12046","1838","2092","710","14846","2010","5400","1352","7434","1471","4778","1607","60405","2266","1130","612","5281","1616","13288","2431","1132","726","17357","2075","7060","1603","9498","2274","5659","1530"
"0500000US06073","San Diego County, California","111696","1897","61065","1608","1710","888","3129","866","14308","2196","2244","993","18810","2240","6464","1877","9417","1952","4983","1231","50631","1267","2122","712","2075","633","10240","2521","1642","839","15649","1892","4585","1415","9403","2141","4915","1325"
"0500000US06075","San Francisco County, California","34225","1210","18451","885","1127","725","1499","601","3243","1067","286","280","5198","1230","1640","854","4039","1003","1419","696","15774","746","630","393","1294","662","2432","1107","947","551","4286","1002","1402","539","3043","1108","1740","678"
"0500000US06077","San Joaquin County, California","34231","1335","15876","1009","635","351","1742","544","4811","1053","677","328","4404","1120","1678","595","1270","507","659","452","18355","653","438","340","1775","644","5524","1190","190","149","5925","1293","2480","1047","1761","762","262","216"
"0500000US06081","San Mateo County, California","12361","1033","6566","657","83","139","96","156","1448","613","191","176","1291","594","600","417","1550","694","1307","579","5795","651","0","211","113","151","2045","1116","131","163","1152","571","349","349","1098","586","907","474"
"0500000US06083","Santa Barbara County, California","5942","881","3031","680","48","69","610","538","634","454","379","584","404","380","409","319","239","304","308","245","2911","763","0","211","40","92","453","434","0","211","504","535","742","478","748","460","424","247"
"0500000US06085","Santa Clara County, California","33527","1272","17992","1037","103","115","1335","661","2829","831","341","227","4738","1185","1807","762","4194","1106","2645","999","15535","879","242","252","556","364","2564","967","166","168","4584","1163","1007","528","3548","935","2868","1072"
"0500000US06095","Solano County, California","43700","1145","22282","719","456","253","1387","612","5807","1211","1368","582","6912","1122","2103","887","2729","1099","1520","675","21418","815","315","262","965","502","4283","991","465","283","8974","1486","1852","793","2794","833","1770","699"
"0500000US06099","Stanislaus County, California","10125","594","4866","372","0","211","55","75","881","521","358","326","2218","744","346","269","968","638","40","76","5259","465","152","183","169","181","643","504","14","29","1819","682","874","531","1204","594","384","352"
"0500000US06107","Tulare County, California","4594","882","2457","840","170","165","216","196","517","330","53","123","665","547","222","326","399","329","215","255","2137","375","171","174","187","184","139","198","80","153","539","324","357","262","299","409","365","423"
"0500000US06111","Ventura County, California","10348","861","5507","704","86","142","0","211","955","585","182","286","1877","655","566","451","942","495","899","403","4841","570","125","166","211","242","708","613","78","174","1324","590","677","479","492","312","1226","611"
"0500000US08001","Adams County, Colorado","10875","1056","6573","860","339","321","362","364","1976","833","424","493","1472","556","256","273","847","539","897","757","4302","713","308","330","71","121","1581","702","209","259","489","504","110","137","1134","529","400","316"
"0500000US08005","Arapahoe County, Colorado","47959","2085","23751","820","646","439","696","439","6322","1671","1347","804","5470","1436","3212","1002","3248","899","2810","951","24208","1708","1267","599","1157","690","5900","1473","754","554","6605","1297","2035","714","4692","1121","1798","735"
"0500000US08031","Denver County, Colorado","43612","2159","21738","1514","1157","769","3028","1107","4398","1290","493","353","6359","1681","802","459","4356","1306","1145","607","21874","1250","284","290","2378","1216","5367","1125","587","454","5513","1286","1257","743","3679","1302","2809","1066"
"0500000US08041","El Paso County, Colorado","27784","1260","15931","765","0","204","309","340","2779","834","1541","838","3970","1244","2657","1067","3389","1054","1286","672","11853","989","612","438","702","582","1820","702","525","418","2730","864","1192","540","2449","1032","1823","813"
"0500000US09001","Fairfield County, Connecticut","71537","2094","32065","1154","1777","726","3561","1175","9633","1450","2051","982","5614","1174","2403","950","4687","961","2339","853","39472","1349","1827","738","3451","1250","9872","1910","904","470","8619","1649","3962","1242","5988","1281","4849","1154"
"0500000US09003","Hartford County, Connecticut","81407","1906","37851","1009","1300","564","3187","918","12661","1722","3236","1073","8654","1507","2688","1128","4205","1193","1920","772","43556","1493","1951","797","2973","915","12675","1815","1699","736","9052","1780","3649","1057","7255","1230","4302","1149"
"0500000US09009","New Haven County, Connecticut","75362","1723","33665","989","1402","872","3396","1039","12916","1824","1919","666","6809","1409","2285","798","2804","931","2134","888","41697","1247","2018","688","2270","802","16239","1756","1250","537","7581","1534","3178","1138","5159","1295","4002","997"
"0500000US09011","New London County, Connecticut","12260","1249","6841","883","163","191","599","475","2040","743","967","593","1293","590","131","172","1010","591","638","454","5419","840","196","290","1270","847","913","520","318","337","1069","859","555","397","812","612","286","254"
