GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 18 years:,Margin of Error; Under 18 years:,Estimate; Under 18 years: - With health insurance coverage,Margin of Error; Under 18 years: - With health insurance coverage,Estimate; Under 18 years: - No health insurance coverage,Margin of Error; Under 18 years: - No health insurance coverage,Estimate; 18 to 64 years:,Margin of Error; 18 to 64 years:,Estimate; 18 to 64 years: - With health insurance coverage,Margin of Error; 18 to 64 years: - With health insurance coverage,Estimate; 18 to 64 years: - No health insurance coverage,Margin of Error; 18 to 64 years: - No health insurance coverage,Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - With health insurance coverage,Margin of Error; 65 years and over: - With health insurance coverage,Estimate; 65 years and over: - No health insurance coverage,Margin of Error; 65 years and over: - No health insurance coverage
0500000US24009,24009,"Calvert County, Maryland",10224,981,1410,701,1410,701,0,193,7483,959,6469,1211,1014,770,1331,557,1331,557,0,193
0500000US24013,24013,"Carroll County, Maryland",4525,889,1015,501,1015,501,0,193,2831,664,2535,494,296,340,679,213,679,213,0,193
0500000US24015,24015,"Cecil County, Maryland",6598,960,1610,879,1125,738,485,776,4579,490,4277,581,302,301,409,300,409,300,0,193
0500000US24017,24017,"Charles County, Maryland",64034,2763,17886,1494,17847,1500,39,66,41387,1492,39786,1511,1601,612,4761,290,4761,290,0,193
0500000US24021,24021,"Frederick County, Maryland",22642,1640,6266,878,6266,878,0,193,14562,1010,14094,1066,468,329,1814,237,1710,241,104,170
0500000US24025,24025,"Harford County, Maryland",33674,1209,10103,736,9985,818,118,193,21054,765,19216,1018,1838,691,2517,153,2517,153,0,193
0500000US24027,24027,"Howard County, Maryland",57187,1319,16303,852,15639,996,664,477,35582,1061,33414,1306,2168,896,5302,178,5077,310,225,256
0500000US24031,24031,"Montgomery County, Maryland",182840,3504,49211,1695,48105,1806,1106,985,118273,2175,98423,3584,19850,2937,15356,894,15151,874,205,220
0500000US24033,24033,"Prince George's County, Maryland",562984,3306,124599,1888,120914,2363,3685,1219,374939,2203,335607,4083,39332,3636,63446,705,62404,830,1042,503
0500000US24037,24037,"St. Mary's County, Maryland",15458,1147,4004,814,4004,814,0,193,9955,605,9092,862,863,598,1499,440,1499,440,0,193
0500000US24043,24043,"Washington County, Maryland",10696,1704,2997,967,2997,967,0,193,7259,1099,6875,1069,384,318,440,278,440,278,0,193
0500000US24045,24045,"Wicomico County, Maryland",26007,688,7107,440,6969,489,138,229,16406,450,14505,1112,1901,989,2494,160,2494,160,0,193
0500000US24510,24510,"Baltimore city, Maryland",382500,2856,92830,1599,90026,1644,2804,1230,244318,2000,215231,3110,29087,3165,45352,768,44907,850,445,344
0500000US25001,25001,"Barnstable County, Massachusetts",6312,1010,2025,680,2025,680,0,198,3700,513,3111,494,589,305,587,350,587,350,0,198
0500000US25005,25005,"Bristol County, Massachusetts",21903,2169,6140,1364,6050,1339,90,155,14202,1133,13146,1147,1056,612,1561,181,1561,181,0,198
0500000US25009,25009,"Essex County, Massachusetts",25987,2044,6026,1213,5812,1236,214,191,18537,1602,16654,1649,1883,886,1424,540,1424,540,0,198
0500000US25013,25013,"Hampden County, Massachusetts",38957,1824,10692,1345,10504,1338,188,220,24281,1168,22990,1113,1291,604,3984,217,3984,217,0,198
0500000US25017,25017,"Middlesex County, Massachusetts",74113,3210,18556,1829,17497,2188,1059,963,49818,2193,46273,2440,3545,1284,5739,593,5582,595,157,187
0500000US25021,25021,"Norfolk County, Massachusetts",41786,1877,10269,975,9788,1005,481,446,27812,1316,25532,1414,2280,843,3705,241,3705,241,0,198
0500000US25023,25023,"Plymouth County, Massachusetts",46323,2572,14046,1377,13958,1374,88,148,28039,1679,25930,1873,2109,1016,4238,229,4128,277,110,193
0500000US25025,25025,"Suffolk County, Massachusetts",165715,5087,38917,2133,38153,2157,764,413,109409,3259,100258,3648,9151,1871,17389,984,16987,1054,402,284
