GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
0500000US36089,36089,"St. Lawrence County, New York",70792,635,10273,962,28245,1720,19127,1709,7315,1104,5832,993,62158,1484,8808,930,24539,1801,17357,1633,6309,1054,5145,920,5229,1299,703,422,2532,916,1170,524,729,476,95,132,2677,787,609,248,901,333,550,376,267,359,350,371,563,335,119,111,241,246,50,66,10,18,143,166,165,163,34,59,32,54,0,269,0,269,99,119
0500000US36091,36091,"Saratoga County, New York",148196,698,13807,1808,43590,3195,41790,3374,28852,2722,20157,1906,129247,2897,11422,1590,37906,3230,36228,2755,25228,2465,18463,1813,10444,2316,1230,576,3989,1616,2994,1365,1416,621,815,530,5621,1512,1087,761,1057,520,1450,742,1594,813,433,276,2488,1263,0,269,570,759,963,711,614,427,341,298,396,352,68,124,68,124,155,148,0,269,105,179
0500000US36093,36093,"Schenectady County, New York",102072,814,9883,1534,32026,2305,27228,2267,18483,1607,14452,1612,86879,2229,7941,1529,26932,2284,23649,2277,15994,1440,12363,1453,9185,1693,1227,631,2992,973,2343,774,1612,720,1011,452,4884,1502,646,387,1714,861,873,507,664,418,987,703,1013,491,0,269,388,311,321,249,213,176,91,102,111,147,69,123,0,269,42,71,0,269,0,269
0500000US36101,36101,"Steuben County, New York",66826,363,8252,1073,26571,1649,19748,1456,6105,976,6150,877,59366,1445,7149,1017,23907,1634,17528,1502,5430,933,5352,831,5153,1001,910,401,2123,745,1565,663,262,260,293,210,790,337,176,144,165,161,222,146,120,131,107,91,1257,571,17,29,376,281,329,298,158,161,377,332,260,219,0,269,0,269,104,103,135,168,21,35
0500000US36103,36103,"Suffolk County, New York",970274,421,103783,6098,309770,7953,258906,5926,163881,5693,133934,5070,884730,5933,92766,5820,283477,7682,236130,5793,147550,5636,124807,5023,58187,5096,8154,1922,17185,2350,17582,2320,9507,1853,5759,1213,15252,2908,1088,630,5192,1513,3217,935,3836,1284,1919,744,6765,1523,495,347,1908,799,1138,558,1828,788,1396,593,5340,2262,1280,831,2008,1383,839,644,1160,1154,53,87
0500000US36109,36109,"Tompkins County, New York",56837,1276,4034,1317,10468,1532,12607,1589,14713,2100,15015,1878,44248,1769,3771,1329,8988,1312,11369,1472,8982,1431,11138,1454,7874,1500,174,207,860,558,655,344,4244,1538,1941,785,2262,744,89,108,482,594,145,162,1012,600,534,432,1389,654,0,269,138,155,281,248,295,269,675,397,1064,592,0,269,0,269,157,166,180,217,727,485
0500000US36111,36111,"Ulster County, New York",125154,808,16592,1711,38330,2725,32750,2211,22368,2044,15114,1620,109908,2323,13699,1497,34369,2578,29091,2179,19473,2072,13276,1673,7750,1658,1685,836,1944,694,2336,787,1000,465,785,429,5401,1361,1127,519,1849,767,873,357,1105,695,447,430,1490,824,81,102,84,96,284,291,707,482,334,365,605,441,0,269,84,99,166,137,83,107,272,333
0500000US36117,36117,"Wayne County, New York",62133,412,9378,1089,21816,1526,17375,1694,8474,1270,5090,934,55347,1434,7928,1077,19494,1498,15544,1658,7642,1104,4739,931,3910,1065,1044,469,1569,641,953,456,223,153,121,133,1875,579,346,183,660,319,425,229,214,186,230,204,974,723,60,72,66,110,453,389,395,385,0,269,27,46,0,269,27,46,0,269,0,269,0,269
0500000US36119,36119,"Westchester County, New York",633521,204,74827,4368,161639,5866,114964,5055,139486,5693,142605,5366,566229,5369,66156,4173,145401,6050,104160,5345,123431,5039,127081,5260,41540,4373,6490,1764,10852,1708,6432,1645,9016,1953,8750,1780,14328,2146,1157,549,3604,1113,2732,817,3171,886,3664,990,6506,1433,270,243,846,465,1035,579,2254,724,2101,742,4918,1514,754,462,936,551,605,374,1614,1024,1009,593
0500000US37001,37001,"Alamance County, North Carolina",93897,1027,19714,2153,30282,2391,25823,2324,11536,1842,6542,1466,79912,2755,15609,2315,25782,2296,22475,2138,10666,1635,5380,1238,10152,1967,3407,1286,3306,1240,2569,910,348,296,522,499,1948,801,497,501,579,394,315,273,374,372,183,186,1796,946,112,135,615,510,464,466,148,183,457,397,89,144,89,144,0,281,0,281,0,281,0,281
0500000US37019,37019,"Brunswick County, North Carolina",67959,756,12537,2196,22424,2369,18395,2216,10463,1545,4140,932,59933,2051,11161,2125,18973,2031,16177,2234,9790,1506,3832,922,3822,1342,699,477,1735,1046,1164,789,149,170,75,101,2815,1359,418,351,1280,985,791,486,301,222,25,44,1165,554,138,115,333,261,263,181,223,193,208,169,224,247,121,176,103,138,0,281,0,281,0,281
0500000US37021,37021,"Buncombe County, North Carolina",157575,879,23682,2949,45218,3582,40698,2823,29332,1973,18645,2020,133014,2862,21112,2845,38091,3312,33607,2535,24440,1890,15764,1910,13461,2496,1998,826,3361,1158,4068,1283,2843,1245,1191,666,3333,1350,255,171,884,711,1117,732,716,614,361,321,7192,2162,317,369,2504,1383,1869,798,1217,529,1285,506,575,524,0,281,378,466,37,61,116,139,44,74
0500000US37025,37025,"Cabarrus County, North Carolina",101809,765,15878,2025,32467,2757,31250,2425,15131,1992,7083,1467,84482,2387,12500,1504,26914,2691,26890,2257,12447,1707,5731,1209,9476,2164,2063,853,3658,1313,2326,783,942,636,487,390,3734,1301,787,709,950,520,871,433,770,369,356,284,3558,1190,487,338,621,369,1012,565,929,594,509,350,559,378,41,69,324,306,151,186,43,83,0,281
0500000US37035,37035,"Catawba County, North Carolina",104565,896,21069,2250,34458,2388,29224,2000,13138,1704,6676,1107,91333,2442,17454,1941,31049,2415,24691,2005,12107,1697,6032,993,7648,2098,1956,1058,1798,758,2872,909,751,557,271,267,3610,1190,1019,611,1149,526,1110,642,57,96,275,287,1796,820,507,439,462,377,551,475,178,210,98,168,178,227,133,213,0,281,0,281,45,76,0,281
0500000US37049,37049,"Craven County, North Carolina",60784,254,7571,1301,19032,2236,20898,1892,8045,1423,5238,992,49849,1953,6142,1226,14671,2075,17381,2013,7278,1277,4377,957,4978,1562,943,663,2872,1022,940,569,160,264,63,100,2835,807,129,155,1091,477,1030,681,127,165,458,488,2362,923,294,205,325,221,1157,614,246,234,340,322,760,544,63,113,73,102,390,410,234,253,0,281
0500000US37051,37051,"Cumberland County, North Carolina",178249,438,21045,2428,52747,3300,64176,3901,27626,2771,12655,1540,142618,3583,16921,2374,43256,2890,50270,3403,21362,2104,10809,1513,17282,2957,2362,852,5895,1757,5846,1345,2660,1037,519,441,3239,1257,549,396,308,293,1563,995,650,482,169,156,11108,1927,805,499,2158,856,4531,1313,2589,880,1025,460,4002,1345,408,329,1130,773,1966,896,365,231,133,158
0500000US37057,37057,"Davidson County, North Carolina",107153,975,22134,2116,38211,2833,31731,2969,10846,1592,4231,904,95869,1957,18686,2095,34289,2770,28959,2853,10221,1561,3714,863,5376,1448,1590,733,2237,926,1190,573,238,248,121,142,4047,1339,1235,720,1098,569,1190,784,210,198,314,244,1788,901,623,496,587,411,340,432,177,167,61,97,73,94,0,281,0,281,52,86,0,281,21,35
0500000US37063,37063,"Durham County, North Carolina",160342,457,24491,2043,34935,3377,35625,2816,36911,2409,28380,2215,127523,3245,18398,1907,27391,3032,29092,2613,29296,2368,23346,2159,16293,2362,4622,1601,4329,1358,3344,900,2271,712,1727,707,7084,1758,945,509,1365,866,1707,766,1717,750,1350,788,8450,2110,526,585,1850,1188,1482,767,2992,1019,1600,559,992,549,0,281,0,281,0,281,635,415,357,247
0500000US37067,37067,"Forsyth County, North Carolina",220050,526,33409,3297,59100,3478,59508,3755,45944,3160,22089,1959,186894,3417,26705,2848,51464,3439,48763,3553,40553,2933,19409,2012,21255,2953,5224,1707,5000,1421,7499,2007,2390,735,1142,505,4793,1531,950,502,1201,589,1601,967,768,421,273,177,6723,1670,530,447,1293,701,1645,961,2053,880,1202,548,385,320,0,281,142,227,0,281,180,179,63,105
0500000US37071,37071,"Gaston County, North Carolina",134769,1281,30897,3061,41076,3508,37648,2811,17238,2133,7910,1183,115557,3014,27062,3001,34902,3095,32505,2501,14285,1758,6803,1082,12143,2411,2760,1389,4154,1823,3241,1163,1629,1101,359,330,4656,1281,809,590,1199,791,1416,583,776,437,456,449,2314,1104,266,247,821,468,387,296,548,594,292,246,99,165,0,281,0,281,99,165,0,281,0,281
0500000US37081,37081,"Guilford County, North Carolina",296975,846,43813,2832,76260,3378,82547,4293,64759,3669,29596,2352,255411,3104,37154,2954,66447,3358,69679,3769,56663,3229,25468,2031,25986,2786,4267,1301,6981,1370,7380,1408,5589,1272,1769,734,7595,1842,1696,833,1894,798,2791,966,695,442,519,351,7139,2011,589,358,898,464,2398,955,1590,730,1664,844,844,433,107,126,40,68,299,240,222,192,176,135
0500000US37085,37085,"Harnett County, North Carolina",67682,155,13705,1825,23234,1794,20119,1731,7251,1334,3373,991,55836,2177,10500,1206,20576,1838,16285,1666,6162,1246,2313,632,4512,1029,1194,469,1555,508,1259,584,368,323,136,134,3871,1510,1642,1389,890,418,1141,481,15,26,183,261,3277,1593,299,174,213,205,1331,1034,693,602,741,730,186,186,70,96,0,281,103,142,13,22,0,281
0500000US37089,37089,"Henderson County, North Carolina",72094,896,11424,1606,19541,2218,22035,2199,11851,1748,7243,1418,60307,2234,10166,1548,16947,2176,17528,2195,10328,1492,5338,993,4419,1290,806,382,989,600,1715,775,516,388,393,401,3091,1389,213,187,588,401,1491,783,322,379,477,453,4114,1561,207,210,1017,632,1201,728,654,603,1035,616,163,203,32,55,0,281,100,182,31,57,0,281
