"GEO_ID","NAME","B20017H_001E","B20017H_001M","B20017H_002E","B20017H_002M","B20017H_003E","B20017H_003M","B20017H_004E","B20017H_004M","B20017H_005E","B20017H_005M","B20017H_006E","B20017H_006M","B20017H_007E","B20017H_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other"
"0500000US02090","Fairbanks North Star Borough, Alaska","40408","3741","50397","7413","61747","6731","17311","10503","32139","5124","42325","5748","15213","6842"
"0500000US02170","Matanuska-Susitna Borough, Alaska","43114","4503","51876","2095","70248","7339","20893","8431","36021","1592","55145","6345","16042","2794"
"0500000US04001","Apache County, Arizona","36639","12593","35972","8062","46326","14364","15663","1873","43042","19568","46624","11518","24635","14854"
"0500000US04003","Cochise County, Arizona","32401","3710","41480","5081","55946","10141","10505","1453","24824","6127","40242","11318","10688","3049"
"0500000US04005","Coconino County, Arizona","30889","2215","35665","4860","60801","6305","10652","2423","25016","3976","50848","10813","6842","2267"
"0500000US04013","Maricopa County, Arizona","41916","406","49727","1222","61626","610","14665","1074","36434","645","49600","1129","12240","428"
"0500000US04015","Mohave County, Arizona","27822","2427","30987","3399","45734","6648","11089","958","25446","2386","32167","2488","12225","2833"
"0500000US04017","Navajo County, Arizona","25666","8809","32496","8379","50809","7649","11661","5493","20291","3880","35276","5176","11264","2527"
"0500000US04019","Pima County, Arizona","33120","1910","38946","3344","55971","5110","11940","940","30230","1347","42567","2428","11049","1072"
"0500000US04021","Pinal County, Arizona","36522","2031","45757","3683","57297","5107","14545","2920","31417","1138","41184","2219","11685","1304"
"0500000US04025","Yavapai County, Arizona","28999","2492","37113","4114","49312","2838","10801","2122","24758","3015","40119","5481","11710","1161"
"0500000US04027","Yuma County, Arizona","35513","3579","36999","2212","45534","8540","13233","5225","26053","4585","45374","6440","10046","2642"
"0500000US05007","Benton County, Arkansas","40981","1004","46841","2352","51362","1335","12449","2688","34798","2399","44174","4220","10815","936"
"0500000US05031","Craighead County, Arkansas","33243","2042","32799","2967","45550","5014","8488","1693","33715","2890","38882","3429","9494","2467"
"0500000US05045","Faulkner County, Arkansas","36837","2450","41730","4117","51798","4077","11134","1740","31854","2014","43267","6868","11446","1477"
"0500000US05051","Garland County, Arkansas","28881","3802","30775","3018","37369","6001","11921","3108","26937","6103","37558","4914","8406","2310"
"0500000US05069","Jefferson County, Arkansas","35258","2802","46157","16026","51091","5860","16994","10025","30356","6006","41409","11274","4966","4118"
"0500000US05085","Lonoke County, Arkansas","40346","3188","43786","2805","48953","4012","16300","4076","30783","6353","41468","5324","12232","1970"
"0500000US05119","Pulaski County, Arkansas","43293","3087","50911","2055","60631","3900","11926","2407","36399","2076","47300","3181","11534","1374"
"0500000US05125","Saline County, Arkansas","36160","3499","38017","4038","46265","4778","10173","1531","33044","5478","41660","2193","12385","2169"
"0500000US05131","Sebastian County, Arkansas","32517","2795","36613","3847","44882","5108","12250","3340","30730","2460","36110","2054","11513","3965"
"0500000US05143","Washington County, Arkansas","36474","2168","41115","2348","50248","4730","13331","4393","30386","3667","43690","4686","9876","1811"
"0500000US05145","White County, Arkansas","31257","3936","37873","4535","42462","6109","12357","5416","25366","2542","40594","3225","7588","3200"
"0500000US06001","Alameda County, California","63156","3002","76790","3467","100227","2976","21511","1457","55138","3660","75347","3329","20312","1480"
"0500000US06007","Butte County, California","30575","1463","32583","3507","52421","5364","13837","3578","27130","3027","41516","3734","12679","3136"
"0500000US06013","Contra Costa County, California","62341","2809","76774","4101","101228","1227","22190","2550","51010","2047","80045","4838","18080","2920"
"0500000US06017","El Dorado County, California","45606","3715","51731","4861","71879","5882","16035","2719","36291","5671","60106","6432","12765","5470"
"0500000US06019","Fresno County, California","41313","1556","50315","1255","61311","1922","16764","1948","33172","3117","49577","3138","14295","2143"
"0500000US06023","Humboldt County, California","26046","1826","30783","3413","45280","5586","14709","3885","21188","2187","36134","2515","8774","3382"
"0500000US06025","Imperial County, California","36109","10176","31995","10786","40609","17049","14069","8274","50773","38805","86928","56567","15252","2883"
"0500000US06029","Kern County, California","37433","2607","51023","2918","65915","6138","13971","3197","29329","2975","47369","5259","13582","1915"
"0500000US06031","Kings County, California","43399","5042","45738","7418","51726","5313","14202","6337","41065","7657","51704","7992","11549","1735"
"0500000US06033","Lake County, California","35375","5109","36578","3677","50530","18907","20576","9610","31526","8323","36792","3953","13281","5446"
"0500000US06037","Los Angeles County, California","52121","395","61915","843","81204","721","21809","605","43795","1809","63725","2663","18360","1271"
"0500000US06039","Madera County, California","36241","8538","46658","7923","53959","7590","12554","10727","26848","5299","43259","3892","7239","2138"
"0500000US06041","Marin County, California","68148","5211","82796","8976","122509","6247","25912","9731","52461","4848","84930","8230","20856","3769"
"0500000US06045","Mendocino County, California","31617","2930","36136","3113","51688","4048","14503","6534","23480","5199","39918","10961","13349","2736"
"0500000US06047","Merced County, California","37018","5258","48329","5359","59936","7452","16051","8462","30499","5316","41965","12822","11656","2765"
"0500000US06053","Monterey County, California","48153","4574","56525","8858","75422","9310","18430","3841","37268","4201","60289","5509","16514","2383"
"0500000US06055","Napa County, California","50602","2357","52319","5371","66841","9003","18186","6934","45893","4934","66164","6235","15121","5487"
