GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate or professional degree,Margin of Error; Male: - Graduate or professional degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate or professional degree,Margin of Error; Female: - Graduate or professional degree
0500000US41059,41059,"Umatilla County, Oregon",35825,323,18880,40,181,125,959,429,4186,893,1805,667,5595,810,2409,611,2533,633,1212,525,16945,325,572,487,1078,408,3601,684,733,371,5410,851,2405,561,1919,695,1227,447
0500000US41067,41067,"Washington County, Oregon",282122,331,135988,156,1336,716,5395,1246,16058,1796,5308,1407,31553,2808,13250,1865,40618,2901,22470,2156,146134,285,1263,464,4023,866,20895,1970,4892,1109,37064,2701,15093,1814,41324,2860,21580,2141
0500000US41071,41071,"Yamhill County, Oregon",56300,197,27177,197,395,281,1581,620,6282,1113,1585,629,8545,1149,2795,834,3577,789,2417,706,29123,197,466,382,1786,764,6789,1042,1001,469,7272,1471,2677,714,6684,1169,2448,745
0500000US42001,42001,"Adams County, Pennsylvania",66114,168,31894,168,765,298,2838,839,11269,1011,1761,409,6492,1004,2346,625,3522,753,2901,653,34220,168,939,447,1872,561,13120,1044,1652,559,5748,923,2757,577,5278,728,2854,618
0500000US42003,42003,"Allegheny County, Pennsylvania",731908,440,349059,194,4018,828,13891,1661,82050,3598,13296,1415,55882,2913,31461,2415,90636,3857,57825,3048,382849,342,6408,1236,15153,1567,107204,3561,8758,1269,58749,3216,37137,2770,85254,4385,64186,2906
0500000US42005,42005,"Armstrong County, Pennsylvania",48146,43,23587,168,678,295,1663,412,11226,916,1039,326,3056,550,2550,530,2041,481,1334,416,24559,43,647,277,2094,469,10595,820,1067,309,3357,618,2367,546,3030,504,1402,408
0500000US42007,42007,"Beaver County, Pennsylvania",113123,10,53686,168,1250,477,2644,651,17833,1431,2537,650,10235,1016,6292,1149,8939,1106,3956,692,59437,10,1124,508,4476,1068,20620,1657,2326,621,10763,1323,7336,1144,8258,1023,4534,846
0500000US42011,42011,"Berks County, Pennsylvania",223472,184,107670,66,3417,867,6766,1094,38927,2576,5052,889,17020,1537,7537,1033,19129,1733,9822,1299,115802,173,3501,906,5983,954,40854,2534,4387,747,18304,1523,11231,1427,20036,1817,11506,1209
0500000US42013,42013,"Blair County, Pennsylvania",85877,161,40771,62,915,336,2809,746,18388,1373,1292,441,4480,834,3227,884,6996,996,2664,592,45106,148,872,354,3450,724,19131,1424,1761,536,6402,1005,4342,931,5496,899,3652,871
0500000US42017,42017,"Bucks County, Pennsylvania",387693,148,186434,84,1583,475,9340,1321,49373,2961,5871,920,31272,2176,13912,1658,47106,2475,27977,2067,201259,127,2208,720,9755,1640,56409,3380,3526,788,33930,2095,19492,2023,44349,2526,31590,2022
0500000US42019,42019,"Butler County, Pennsylvania",126870,95,61714,168,1006,360,2271,453,18535,1566,2930,675,9662,1270,5695,871,14652,1660,6963,994,65156,95,717,320,2448,588,20736,1728,2005,468,12035,1416,6828,866,13144,1283,7243,1019
0500000US42021,42021,"Cambria County, Pennsylvania",92514,23,44364,10,1172,399,2843,659,18832,1142,1937,553,6979,917,2932,638,5930,994,3739,667,48150,13,1166,367,2780,554,19087,1170,2309,740,7160,984,5436,833,6161,867,4051,820
0500000US42025,42025,"Carbon County, Pennsylvania",44348,168,21611,168,450,326,2725,745,8388,1325,1060,519,3305,786,2216,589,1742,616,1725,749,22737,168,983,449,1466,527,8589,939,1121,451,3330,651,2580,777,2500,724,2168,571
0500000US42027,42027,"Centre County, Pennsylvania",85824,530,43506,405,877,438,1537,541,14226,1452,799,330,5027,913,2003,543,10160,1405,8877,1512,42318,133,589,346,1214,477,12416,1217,981,465,5913,1042,3810,845,10872,1469,6523,1170
0500000US42029,42029,"Chester County, Pennsylvania",291065,167,139674,168,1761,493,4955,1069,26379,2146,2151,693,20705,1783,8504,1441,46673,2397,28546,1677,151391,167,2685,856,4114,810,30188,2188,1842,612,21548,2250,12005,1701,49114,2991,29895,2272
0500000US42033,42033,"Clearfield County, Pennsylvania",55390,168,27518,168,718,268,3328,631,12491,1019,1440,395,3047,500,2864,567,2529,706,1101,348,27872,168,776,280,2145,514,13199,925,1530,337,3668,756,3472,602,2282,475,800,292
0500000US42037,42037,"Columbia County, Pennsylvania",41816,168,20162,168,445,230,1650,507,8381,831,768,341,3103,702,1891,347,2441,494,1483,356,21654,168,779,444,1266,354,9109,838,574,243,3487,628,1694,436,2888,505,1857,432
0500000US42039,42039,"Crawford County, Pennsylvania",57787,48,27941,24,1209,312,2263,572,12243,924,1103,315,4569,711,1616,421,3218,636,1720,392,29846,24,1466,490,1854,393,11275,903,1070,332,4731,702,2572,541,4009,749,2869,658
