"GEO_ID","NAME","B15002H_001E","B15002H_001M","B15002H_002E","B15002H_002M","B15002H_003E","B15002H_003M","B15002H_004E","B15002H_004M","B15002H_005E","B15002H_005M","B15002H_006E","B15002H_006M","B15002H_007E","B15002H_007M","B15002H_008E","B15002H_008M","B15002H_009E","B15002H_009M","B15002H_010E","B15002H_010M","B15002H_011E","B15002H_011M","B15002H_012E","B15002H_012M","B15002H_013E","B15002H_013M","B15002H_014E","B15002H_014M","B15002H_015E","B15002H_015M","B15002H_016E","B15002H_016M","B15002H_017E","B15002H_017M","B15002H_018E","B15002H_018M","B15002H_019E","B15002H_019M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Less than 9th grade","Margin of Error!!Total!!Male!!Less than 9th grade","Estimate!!Total!!Male!!9th to 12th grade, no diploma","Margin of Error!!Total!!Male!!9th to 12th grade, no diploma","Estimate!!Total!!Male!!Regular high school diploma","Margin of Error!!Total!!Male!!Regular high school diploma","Estimate!!Total!!Male!!GED or alternative credential","Margin of Error!!Total!!Male!!GED or alternative credential","Estimate!!Total!!Male!!Some college, no degree","Margin of Error!!Total!!Male!!Some college, no degree","Estimate!!Total!!Male!!Associate's degree","Margin of Error!!Total!!Male!!Associate's degree","Estimate!!Total!!Male!!Bachelor's degree","Margin of Error!!Total!!Male!!Bachelor's degree","Estimate!!Total!!Male!!Graduate or professional degree","Margin of Error!!Total!!Male!!Graduate or professional degree","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Less than 9th grade","Margin of Error!!Total!!Female!!Less than 9th grade","Estimate!!Total!!Female!!9th to 12th grade, no diploma","Margin of Error!!Total!!Female!!9th to 12th grade, no diploma","Estimate!!Total!!Female!!Regular high school diploma","Margin of Error!!Total!!Female!!Regular high school diploma","Estimate!!Total!!Female!!GED or alternative credential","Margin of Error!!Total!!Female!!GED or alternative credential","Estimate!!Total!!Female!!Some college, no degree","Margin of Error!!Total!!Female!!Some college, no degree","Estimate!!Total!!Female!!Associate's degree","Margin of Error!!Total!!Female!!Associate's degree","Estimate!!Total!!Female!!Bachelor's degree","Margin of Error!!Total!!Female!!Bachelor's degree","Estimate!!Total!!Female!!Graduate or professional degree","Margin of Error!!Total!!Female!!Graduate or professional degree"
"0500000US36063","Niagara County, New York","133857","176","64271","201","1364","515","3967","806","16842","1631","4282","1082","13138","1548","9078","1410","9059","1357","6541","1231","69586","176","1271","457","3997","960","18695","1794","3661","837","11686","1564","11611","1373","9801","1427","8864","1367"
"0500000US36079","Putnam County, New York","57103","146","27855","146","135","136","544","304","6545","1016","993","577","5728","1042","2473","726","7182","1186","4255","838","29248","201","549","319","401","304","7178","1292","699","332","5349","992","3286","856","5665","1107","6121","942"
"0500000US37151","Randolph County, North Carolina","83239","210","39852","210","2181","839","4115","1187","11168","1483","3298","1009","10004","1359","3057","705","4349","1294","1680","646","43387","210","1346","771","3856","962","11053","1307","3088","881","9898","1532","5580","1225","6445","1409","2121","769"
"0500000US40109","Oklahoma County, Oklahoma","322264","843","153964","732","2163","725","7713","1456","29447","2442","6186","1135","36668","2684","10750","1623","39320","2523","21717","1934","168300","314","2531","912","8949","1683","32633","2305","4913","1096","42750","2924","12389","1611","40943","2465","23192","2140"
"0500000US48245","Jefferson County, Texas","76446","61","38456","228","984","603","2071","727","7527","1274","2449","885","11976","1379","3549","820","7144","1229","2756","767","37990","61","1025","499","2073","726","8061","1219","1428","666","10291","1338","3560","833","7702","1364","3850","1047"
"0500000US55073","Marathon County, Wisconsin","86646","70","42905","34","941","350","2630","742","13026","1087","1689","606","6621","819","6216","1030","8464","1057","3318","706","43741","36","1185","502","1244","528","13162","1166","1010","386","7399","856","7199","949","8192","1045","4350","789"
"0500000US04017","Navajo County, Arizona","33919","610","17014","448","368","312","1126","679","3674","867","1138","450","5932","1025","1332","642","2162","587","1282","509","16905","422","200","189","923","412","3242","943","617","377","5876","1168","1710","530","2153","721","2184","782"
"0500000US06107","Tulare County, California","96745","298","46226","157","1049","513","3507","849","11294","1701","2008","645","11494","1469","4516","1145","7379","1377","4979","1160","50519","250","1117","613","3784","903","11498","1560","1468","522","12591","1704","6461","1122","8845","1536","4755","1352"
"0500000US08077","Mesa County, Colorado","90191","95","43636","204","632","461","2546","779","8795","1415","2816","973","12244","1695","3272","1085","8481","1442","4850","1063","46555","95","696","534","2711","805","9593","1782","1574","713","10938","1376","5334","1210","10345","1493","5364","1124"
"0500000US22079","Rapides Parish, Louisiana","56329","139","26750","20","750","460","1991","751","8493","1364","1941","801","6034","1300","893","418","4559","1107","2089","547","29579","148","927","636","1706","626","10547","1655","1439","634","7202","1380","1775","703","3577","814","2406","809"
