"Notes"	"County"	"County Code"	"Year"	"Year Code"	Births
	"Greenville County, SC"	"45045"	"2014"	"2014"	135
	"Greenville County, SC"	"45045"	"2015"	"2015"	110
	"Davidson County, TN"	"47037"	"2007"	"2007"	501
	"Davidson County, TN"	"47037"	"2008"	"2008"	499
	"Davidson County, TN"	"47037"	"2009"	"2009"	429
	"Davidson County, TN"	"47037"	"2010"	"2010"	401
	"Davidson County, TN"	"47037"	"2011"	"2011"	322
	"Davidson County, TN"	"47037"	"2012"	"2012"	320
	"Davidson County, TN"	"47037"	"2013"	"2013"	283
	"Davidson County, TN"	"47037"	"2014"	"2014"	255
	"Davidson County, TN"	"47037"	"2015"	"2015"	245
	"Knox County, TN"	"47093"	"2007"	"2007"	110
	"Knox County, TN"	"47093"	"2008"	"2008"	116
	"Knox County, TN"	"47093"	"2009"	"2009"	120
	"Knox County, TN"	"47093"	"2010"	"2010"	111
	"Knox County, TN"	"47093"	"2011"	"2011"	88
	"Knox County, TN"	"47093"	"2012"	"2012"	91
	"Knox County, TN"	"47093"	"2013"	"2013"	72
	"Knox County, TN"	"47093"	"2014"	"2014"	81
	"Knox County, TN"	"47093"	"2015"	"2015"	68
	"Shelby County, TN"	"47157"	"2007"	"2007"	1819
	"Shelby County, TN"	"47157"	"2008"	"2008"	1854
	"Shelby County, TN"	"47157"	"2009"	"2009"	1749
	"Shelby County, TN"	"47157"	"2010"	"2010"	1554
	"Shelby County, TN"	"47157"	"2011"	"2011"	1471
	"Shelby County, TN"	"47157"	"2012"	"2012"	1319
	"Shelby County, TN"	"47157"	"2013"	"2013"	1163
	"Shelby County, TN"	"47157"	"2014"	"2014"	1020
	"Shelby County, TN"	"47157"	"2015"	"2015"	969
	"Richmond city, VA"	"51760"	"2007"	"2007"	361
	"Richmond city, VA"	"51760"	"2008"	"2008"	354
	"Richmond city, VA"	"51760"	"2009"	"2009"	332
	"Richmond city, VA"	"51760"	"2010"	"2010"	257
	"Richmond city, VA"	"51760"	"2011"	"2011"	239
	"Richmond city, VA"	"51760"	"2012"	"2012"	223
	"Richmond city, VA"	"51760"	"2013"	"2013"	223
	"Richmond city, VA"	"51760"	"2014"	"2014"	169
	"Richmond city, VA"	"51760"	"2015"	"2015"	165
"---"
"Dataset: Natality, 2007-2020"
"Query Parameters:"
"Age of Mother 9: 15-19 years"
"Mother's Bridged Race: Black or African American"
"Mother's Hispanic Origin: Not Hispanic or Latino"
"States: Jefferson County, AL (01073); Duval County, FL (12031); Marion County, IN (18097); Jefferson County, KY (21111); Kent"
"County, MI (26081); Jackson County, MO (29095); St. Louis County, MO (29189); St. Louis city, MO (29510); Douglas County, NE"
"(31055); Guilford County, NC (37081); Mecklenburg County, NC (37119); Wake County, NC (37183); Franklin County, OH (39049);"
"Hamilton County, OH (39061); Montgomery County, OH (39113); Oklahoma County, OK (40109); Tulsa County, OK (40143); Greenville"
"County, SC (45045); Davidson County, TN (47037); Knox County, TN (47093); Shelby County, TN (47157); Richmond city, VA (51760)"
"Year: 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015"
"Group By: County; Year"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information."
"---"
"Query Date: Feb 25, 2022 12:21:39 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics, Natality public-use data 2007-2020, on CDC"
"WONDER Online Database, October 2021. Accessed at http://wonder.cdc.gov/natality-current.html on Feb 25, 2022 12:21:39 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties""."
"3. <p> As a result of population changes the following counties do not have data available for all years.<br/> Before 2014 the"
"data for the following counties was recoded to the ""Unidentified Counties"" category within the state of the county because"
"they did not meet minimum population standards. Houston County, AL (01069); Navajo County, AZ (04017); Faulkner County, AR"
"(05045); Saline County, AR (05125); Bartow County, GA (13015); Carroll County, GA (13045); Columbia County, GA (13073); Coweta"
"County, GA (13077); Douglas County, GA (13097); Fayette County, GA (13113); Forsyth County, GA (13117); Lowndes County, GA"
"(13185); Paulding County, GA (13223); Whitfield County, GA (13313); Bonneville County, ID (16019); DeKalb County, IL (17037);"
"Kendall County, IL (17093); Clark County, IN (18019); Douglas County, KS (20045); Boone County, KY (21015); Hardin County, KY"
"(21093); Warren County, KY (21227); Ascension Parish, LA (22005); Bossier Parish, LA (22015); Livingston Parish, LA (22063);"
"Cecil County, MD (24015); St. Mary's County, MD (24037); Scott County, MN (27139); Wright County, MN (27171); Franklin County,"
"MO (29071); Missoula County, MT (30063); Sandoval County, NM (35043); Tompkins County, NY (36109); Brunswick County, NC (37019);"
"Craven County, NC (37049); Harnett County, NC (37085); Henderson County, NC (37089); Miami County, OH (39109); Canadian County,"
"OK (40017); Adams County, PA (42001); Dorchester County, SC (45035); Pennington County, SD (46103); Wilson County, TN (47189);"
"Comal County, TX (48091); Guadalupe County, TX (48187); Hays County, TX (48209); Kaufman County, TX (48257); Parker County, TX"
"(48367); Cache County, UT (49005); Washington County, UT (49053); Spotsylvania County, VA (51177); Stafford County, VA (51179);"
"Cowlitz County, WA (53015); Berkeley County, WV (54003); Fond du Lac County, WI (55039); Walworth County, WI (55127). </p> <p>"
"After 2013 the data for the following counties was recoded to the ""Unidentified Counties"" category within the state of the"
"county because they did not meet minimum population standards. Cape May County, NJ (34009); Portsmouth city, VA (51740). </p>"
"4. Data for some counties in New York and Virginia have been revised for 2014 births based on updated residence population. More"
"information: http://wonder.cdc.gov/wonder/help/Natality.html#county_2014."
"5. Beginning with 2020, bridged race is no longer included in the national birth file"
"6. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis County (FIPS code 29189)."
