"Notes"	"County"	"County Code"	"Year"	"Year Code"	Births
	"Guilford County, NC"	"37081"	"2007"	"2007"	156
	"Guilford County, NC"	"37081"	"2008"	"2008"	144
	"Guilford County, NC"	"37081"	"2009"	"2009"	142
	"Guilford County, NC"	"37081"	"2010"	"2010"	144
	"Guilford County, NC"	"37081"	"2011"	"2011"	101
	"Guilford County, NC"	"37081"	"2012"	"2012"	108
	"Guilford County, NC"	"37081"	"2013"	"2013"	86
	"Guilford County, NC"	"37081"	"2014"	"2014"	67
	"Guilford County, NC"	"37081"	"2015"	"2015"	78
	"Mecklenburg County, NC"	"37119"	"2007"	"2007"	169
	"Mecklenburg County, NC"	"37119"	"2008"	"2008"	168
	"Mecklenburg County, NC"	"37119"	"2009"	"2009"	166
	"Mecklenburg County, NC"	"37119"	"2010"	"2010"	147
	"Mecklenburg County, NC"	"37119"	"2011"	"2011"	108
	"Mecklenburg County, NC"	"37119"	"2012"	"2012"	99
	"Mecklenburg County, NC"	"37119"	"2013"	"2013"	98
	"Mecklenburg County, NC"	"37119"	"2014"	"2014"	80
	"Mecklenburg County, NC"	"37119"	"2015"	"2015"	68
	"Wake County, NC"	"37183"	"2007"	"2007"	174
	"Wake County, NC"	"37183"	"2008"	"2008"	167
	"Wake County, NC"	"37183"	"2009"	"2009"	163
	"Wake County, NC"	"37183"	"2010"	"2010"	143
	"Wake County, NC"	"37183"	"2011"	"2011"	117
	"Wake County, NC"	"37183"	"2012"	"2012"	121
	"Wake County, NC"	"37183"	"2013"	"2013"	97
	"Wake County, NC"	"37183"	"2014"	"2014"	83
	"Wake County, NC"	"37183"	"2015"	"2015"	77
	"Franklin County, OH"	"39049"	"2007"	"2007"	778
	"Franklin County, OH"	"39049"	"2008"	"2008"	855
	"Franklin County, OH"	"39049"	"2009"	"2009"	752
	"Franklin County, OH"	"39049"	"2010"	"2010"	643
	"Franklin County, OH"	"39049"	"2011"	"2011"	590
	"Franklin County, OH"	"39049"	"2012"	"2012"	530
	"Franklin County, OH"	"39049"	"2013"	"2013"	485
	"Franklin County, OH"	"39049"	"2014"	"2014"	439
	"Franklin County, OH"	"39049"	"2015"	"2015"	416
	"Hamilton County, OH"	"39061"	"2007"	"2007"	472
	"Hamilton County, OH"	"39061"	"2008"	"2008"	480
	"Hamilton County, OH"	"39061"	"2009"	"2009"	405
	"Hamilton County, OH"	"39061"	"2010"	"2010"	369
	"Hamilton County, OH"	"39061"	"2011"	"2011"	340
	"Hamilton County, OH"	"39061"	"2012"	"2012"	320
	"Hamilton County, OH"	"39061"	"2013"	"2013"	261
	"Hamilton County, OH"	"39061"	"2014"	"2014"	232
	"Hamilton County, OH"	"39061"	"2015"	"2015"	221
	"Montgomery County, OH"	"39113"	"2007"	"2007"	460
	"Montgomery County, OH"	"39113"	"2008"	"2008"	459
	"Montgomery County, OH"	"39113"	"2009"	"2009"	417
	"Montgomery County, OH"	"39113"	"2010"	"2010"	380
	"Montgomery County, OH"	"39113"	"2011"	"2011"	343
	"Montgomery County, OH"	"39113"	"2012"	"2012"	298
	"Montgomery County, OH"	"39113"	"2013"	"2013"	271
	"Montgomery County, OH"	"39113"	"2014"	"2014"	255
	"Montgomery County, OH"	"39113"	"2015"	"2015"	197
	"Oklahoma County, OK"	"40109"	"2007"	"2007"	598
	"Oklahoma County, OK"	"40109"	"2008"	"2008"	593
	"Oklahoma County, OK"	"40109"	"2009"	"2009"	560
	"Oklahoma County, OK"	"40109"	"2010"	"2010"	499
	"Oklahoma County, OK"	"40109"	"2011"	"2011"	413
	"Oklahoma County, OK"	"40109"	"2012"	"2012"	407
	"Oklahoma County, OK"	"40109"	"2013"	"2013"	438
	"Oklahoma County, OK"	"40109"	"2014"	"2014"	336
	"Oklahoma County, OK"	"40109"	"2015"	"2015"	292
	"Tulsa County, OK"	"40143"	"2007"	"2007"	498
	"Tulsa County, OK"	"40143"	"2008"	"2008"	506
	"Tulsa County, OK"	"40143"	"2009"	"2009"	491
	"Tulsa County, OK"	"40143"	"2010"	"2010"	428
	"Tulsa County, OK"	"40143"	"2011"	"2011"	421
	"Tulsa County, OK"	"40143"	"2012"	"2012"	403
	"Tulsa County, OK"	"40143"	"2013"	"2013"	324
	"Tulsa County, OK"	"40143"	"2014"	"2014"	325
	"Tulsa County, OK"	"40143"	"2015"	"2015"	306
	"Greenville County, SC"	"45045"	"2007"	"2007"	349
	"Greenville County, SC"	"45045"	"2008"	"2008"	317
	"Greenville County, SC"	"45045"	"2009"	"2009"	340
	"Greenville County, SC"	"45045"	"2010"	"2010"	289
	"Greenville County, SC"	"45045"	"2011"	"2011"	218
	"Greenville County, SC"	"45045"	"2012"	"2012"	244
	"Greenville County, SC"	"45045"	"2013"	"2013"	217
	"Greenville County, SC"	"45045"	"2014"	"2014"	180
	"Greenville County, SC"	"45045"	"2015"	"2015"	175
	"Davidson County, TN"	"47037"	"2007"	"2007"	259
	"Davidson County, TN"	"47037"	"2008"	"2008"	287
	"Davidson County, TN"	"47037"	"2009"	"2009"	238
