"GEO_ID","NAME","B08013_001E","B08013_001M","B08013_002E","B08013_002M","B08013_003E","B08013_003M"
"id","Geographic Area Name","Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Male","Margin of Error!!Aggregate travel time to work (in minutes)!!Male","Estimate!!Aggregate travel time to work (in minutes)!!Female","Margin of Error!!Aggregate travel time to work (in minutes)!!Female"
"1400000US21111010601","Census Tract 106.01, Jefferson County, Kentucky","32390","5524","17875","4019","14515","2797"
"1400000US21111010602","Census Tract 106.02, Jefferson County, Kentucky","47135","10008","30460","8695","16675","5793"
"1400000US21111011111","Census Tract 111.11, Jefferson County, Kentucky","65965","9004","28600","4781","37365","8833"
"1400000US21111011112","Census Tract 111.12, Jefferson County, Kentucky","42905","7677","21700","5763","21205","4139"
"1400000US21111011113","Census Tract 111.13, Jefferson County, Kentucky","34700","5953","18990","4926","15710","3172"
"1400000US21111011114","Census Tract 111.14, Jefferson County, Kentucky","58705","9653","25970","6310","32735","5864"
"1400000US21111011513","Census Tract 115.13, Jefferson County, Kentucky","46875","8243","23370","5212","23505","4455"
"1400000US21111011514","Census Tract 115.14, Jefferson County, Kentucky","44600","5605","19990","4191","24610","4716"
"1400000US21111011515","Census Tract 115.15, Jefferson County, Kentucky","56490","5236","32190","4022","24295","3741"
"1400000US21111011516","Census Tract 115.16, Jefferson County, Kentucky","59030","5669","29970","5146","29060","3632"
"1400000US21111011517","Census Tract 115.17, Jefferson County, Kentucky","83685","12068","43910","8196","39775","6488"
"1400000US21111011518","Census Tract 115.18, Jefferson County, Kentucky","29040","2770","15765","1895","13275","1830"
"1400000US21111011519","Census Tract 115.19, Jefferson County, Kentucky","70080","9456","36325","6527","33755","5716"
"1400000US21111011520","Census Tract 115.20, Jefferson County, Kentucky","43800","3910","22310","2758","21490","2877"
"1400000US21111011603","Census Tract 116.03, Jefferson County, Kentucky","60340","8025","32445","6418","27890","4086"
"1400000US21111011604","Census Tract 116.04, Jefferson County, Kentucky","31950","4871","17280","2713","14670","3086"
"1400000US21111011708","Census Tract 117.08, Jefferson County, Kentucky","57575","7417","34230","5934","23345","4879"
"1400000US21111011709","Census Tract 117.09, Jefferson County, Kentucky","65610","9154","37945","5966","27665","5041"
"1400000US21111011710","Census Tract 117.10, Jefferson County, Kentucky","42245","12649","17685","5271","24560","10729"
"1400000US21111011711","Census Tract 117.11, Jefferson County, Kentucky","73255","9105","44075","7476","29180","4867"
"1400000US21111011712","Census Tract 117.12, Jefferson County, Kentucky","52570","5960","30990","3791","21575","4957"
"1400000US21111011713","Census Tract 117.13, Jefferson County, Kentucky","33470","7358","15935","4247","17535","4734"
"1400000US21111012410","Census Tract 124.10, Jefferson County, Kentucky","48310","7846","21440","5184","26865","4686"
"1400000US21111012411","Census Tract 124.11, Jefferson County, Kentucky","75890","9460","37305","6696","38585","7477"
"1400000US21111980100","Census Tract 9801, Jefferson County, Kentucky","-","**","-","**","-","**"
"1400000US21111009000","Census Tract 90, Jefferson County, Kentucky","58315","7657","37475","6731","20840","4592"
"1400000US21111009600","Census Tract 96, Jefferson County, Kentucky","46655","6977","20715","4009","25940","6106"
"1400000US21111010706","Census Tract 107.06, Jefferson County, Kentucky","35045","5520","19890","4780","15160","3469"
"1400000US21111011005","Census Tract 110.05, Jefferson County, Kentucky","35665","5303","20325","4586","15340","2694"
"1400000US21111011102","Census Tract 111.02, Jefferson County, Kentucky","79195","9852","46940","7591","32250","5795"
"1400000US21111011505","Census Tract 115.05, Jefferson County, Kentucky","87180","10366","47750","7535","39430","6562"
"1400000US21111012002","Census Tract 120.02, Jefferson County, Kentucky","73750","13303","34870","8584","38880","9273"
"1400000US21111007502","Census Tract 75.02, Jefferson County, Kentucky","47760","5965","24700","5702","23060","3528"
"1400000US21111007601","Census Tract 76.01, Jefferson County, Kentucky","22285","4045","10545","2856","11735","2530"
"1400000US21111007800","Census Tract 78, Jefferson County, Kentucky","34670","4772","17950","4637","16720","2658"
"1400000US21111012202","Census Tract 122.02, Jefferson County, Kentucky","61165","11635","30820","9171","30345","8191"
