"GEO_ID","NAME","B15002I_001E","B15002I_001M","B15002I_002E","B15002I_002M","B15002I_003E","B15002I_003M","B15002I_004E","B15002I_004M","B15002I_005E","B15002I_005M","B15002I_006E","B15002I_006M","B15002I_007E","B15002I_007M","B15002I_008E","B15002I_008M","B15002I_009E","B15002I_009M","B15002I_010E","B15002I_010M","B15002I_011E","B15002I_011M","B15002I_012E","B15002I_012M","B15002I_013E","B15002I_013M","B15002I_014E","B15002I_014M","B15002I_015E","B15002I_015M","B15002I_016E","B15002I_016M","B15002I_017E","B15002I_017M","B15002I_018E","B15002I_018M","B15002I_019E","B15002I_019M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Less than 9th grade","Margin of Error!!Total!!Male!!Less than 9th grade","Estimate!!Total!!Male!!9th to 12th grade, no diploma","Margin of Error!!Total!!Male!!9th to 12th grade, no diploma","Estimate!!Total!!Male!!Regular high school diploma","Margin of Error!!Total!!Male!!Regular high school diploma","Estimate!!Total!!Male!!GED or alternative credential","Margin of Error!!Total!!Male!!GED or alternative credential","Estimate!!Total!!Male!!Some college, no degree","Margin of Error!!Total!!Male!!Some college, no degree","Estimate!!Total!!Male!!Associate's degree","Margin of Error!!Total!!Male!!Associate's degree","Estimate!!Total!!Male!!Bachelor's degree","Margin of Error!!Total!!Male!!Bachelor's degree","Estimate!!Total!!Male!!Graduate or professional degree","Margin of Error!!Total!!Male!!Graduate or professional degree","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Less than 9th grade","Margin of Error!!Total!!Female!!Less than 9th grade","Estimate!!Total!!Female!!9th to 12th grade, no diploma","Margin of Error!!Total!!Female!!9th to 12th grade, no diploma","Estimate!!Total!!Female!!Regular high school diploma","Margin of Error!!Total!!Female!!Regular high school diploma","Estimate!!Total!!Female!!GED or alternative credential","Margin of Error!!Total!!Female!!GED or alternative credential","Estimate!!Total!!Female!!Some college, no degree","Margin of Error!!Total!!Female!!Some college, no degree","Estimate!!Total!!Female!!Associate's degree","Margin of Error!!Total!!Female!!Associate's degree","Estimate!!Total!!Female!!Bachelor's degree","Margin of Error!!Total!!Female!!Bachelor's degree","Estimate!!Total!!Female!!Graduate or professional degree","Margin of Error!!Total!!Female!!Graduate or professional degree"
"0500000US34025","Monmouth County, New Jersey","38450","*****","19439","*****","2306","916","1422","635","4900","1113","749","453","3869","982","1657","839","3410","1073","1126","489","19011","*****","2237","766","1941","725","3944","875","217","207","2937","929","1911","758","4104","1208","1720","617"
"0500000US34027","Morris County, New Jersey","42613","*****","21261","*****","2245","1030","938","523","5226","1184","537","361","3564","1007","1485","632","4511","1261","2755","1012","21352","*****","2000","670","1272","615","3489","887","591","530","3580","1029","1423","792","5272","945","3725","1113"
"0500000US34029","Ocean County, New Jersey","31461","*****","15930","*****","2017","830","1959","884","4531","1399","551","376","1971","947","2064","984","1917","787","920","426","15531","*****","1806","681","2306","807","4338","1066","201","203","2317","781","1805","748","1967","731","791","432"
"0500000US34031","Passaic County, New Jersey","127903","*****","62706","*****","9285","1572","6063","1397","24516","2168","2070","830","9624","1806","1946","753","7426","1676","1776","792","65197","*****","11395","1568","6781","1425","21978","1872","1686","595","9579","1621","3396","973","7991","1389","2391","897"
"0500000US34035","Somerset County, New Jersey","29744","*****","14990","*****","1482","792","1070","637","3307","1208","646","432","3698","1168","606","492","2862","891","1319","502","14754","*****","1347","693","1506","763","2910","898","83","156","3164","722","705","519","3028","710","2011","739"
"0500000US34037","Sussex County, New Jersey","7296","252","3692","220","27","44","130","161","478","333","420","308","715","381","667","459","960","406","295","240","3604","147","22","42","0","210","812","490","228","189","884","530","498","417","498","280","662","345"
"0500000US34039","Union County, New Jersey","111794","*****","56120","*****","8224","1664","6622","1683","18351","2317","1120","732","9742","2229","3007","1174","6535","1436","2519","901","55674","*****","7552","1485","5222","1184","16866","2348","663","468","11038","2002","3274","899","7240","1490","3819","977"
"0500000US34041","Warren County, New Jersey","6274","294","3080","223","512","377","88","130","883","435","205","302","649","287","235","248","495","333","13","23","3194","221","112","139","104","134","917","423","141","164","1013","362","118","111","631","331","158","167"
"0500000US35001","Bernalillo County, New Mexico","211030","*****","100806","*****","8817","1887","12813","2332","25279","2855","6309","1490","21988","2668","6622","1680","11395","1738","7583","1349","110224","*****","8085","1898","11458","2247","25031","2939","6696","1614","25190","2457","9170","1621","15774","1693","8820","1546"
"0500000US35005","Chaves County, New Mexico","21232","628","10436","628","1810","622","2216","860","2265","730","624","354","2102","853","502","439","437","321","480","348","10796","*****","2494","800","1089","560","1984","773","932","706","2741","849","1090","468","417","273","49","91"
