GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 18 years:,Margin of Error; Under 18 years:,Estimate; Under 18 years: - With health insurance coverage,Margin of Error; Under 18 years: - With health insurance coverage,Estimate; Under 18 years: - No health insurance coverage,Margin of Error; Under 18 years: - No health insurance coverage,Estimate; 18 to 64 years:,Margin of Error; 18 to 64 years:,Estimate; 18 to 64 years: - With health insurance coverage,Margin of Error; 18 to 64 years: - With health insurance coverage,Estimate; 18 to 64 years: - No health insurance coverage,Margin of Error; 18 to 64 years: - No health insurance coverage,Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - With health insurance coverage,Margin of Error; 65 years and over: - With health insurance coverage,Estimate; 65 years and over: - No health insurance coverage,Margin of Error; 65 years and over: - No health insurance coverage
0500000US39041,39041,"Delaware County, Ohio",166360,425,43688,112,43285,332,403,313,101333,309,96805,1329,4528,1311,21339,262,21339,262,0,187
0500000US39043,39043,"Erie County, Ohio",62145,493,11545,187,11191,345,354,345,37004,337,35342,881,1662,794,13596,289,13596,289,0,187
0500000US39045,39045,"Fairfield County, Ohio",130211,967,30055,9,29513,369,542,369,79387,833,74054,1595,5333,1385,20769,350,20769,350,0,187
0500000US39049,39049,"Franklin County, Ohio",805235,2659,156274,1088,152511,2067,3763,1511,543051,2036,498616,5304,44435,5008,105910,835,105070,969,840,553
0500000US39055,39055,"Geauga County, Ohio",89304,295,20928,21,15587,1970,5341,1971,51968,68,45635,1600,6333,1588,16408,256,16331,248,77,90
0500000US39057,39057,"Greene County, Ohio",135155,716,27251,8,25875,850,1376,850,84466,669,80151,1245,4315,1254,23438,416,23162,468,276,230
0500000US39061,39061,"Hamilton County, Ohio",529502,854,104676,363,101505,880,3171,872,338533,568,317311,2936,21222,2809,86293,787,85956,813,337,240
0500000US39063,39063,"Hancock County, Ohio",67030,298,14295,187,13990,319,305,319,41435,130,39005,878,2430,852,11300,303,11294,302,6,12
0500000US39081,39081,"Jefferson County, Ohio",60354,316,11277,187,11006,294,271,294,37054,221,33576,870,3478,865,12023,207,11747,311,276,300
0500000US39085,39085,"Lake County, Ohio",202270,773,38775,155,37657,688,1118,626,124237,566,116767,1619,7470,1605,39258,384,39258,384,0,187
0500000US39089,39089,"Licking County, Ohio",153620,1460,34512,682,32424,1661,2088,1549,94331,858,87090,1685,7241,1478,24777,321,24771,322,6,10
0500000US39093,39093,"Lorain County, Ohio",236870,596,47466,121,46761,497,705,484,144965,572,136717,1805,8248,1805,44439,419,44439,419,0,187
0500000US39095,39095,"Lucas County, Ohio",298079,690,58416,2,57563,408,853,408,188443,558,175063,1938,13380,1911,51220,447,51175,449,45,74
0500000US39099,39099,"Mahoning County, Ohio",174821,522,31509,22,30412,674,1097,674,106327,375,98259,1546,8068,1577,36985,487,36971,483,14,23
0500000US39101,39101,"Marion County, Ohio",54551,620,11885,187,11382,579,503,579,33032,563,30744,923,2288,678,9634,249,9634,249,0,187
0500000US39103,39103,"Medina County, Ohio",165025,358,37119,187,35007,1059,2112,1059,100814,211,95010,1546,5804,1511,27092,336,27066,339,26,46
0500000US39109,39109,"Miami County, Ohio",95745,364,21370,57,20449,646,921,646,57273,191,52505,1334,4768,1317,17102,306,17102,306,0,187
0500000US39113,39113,"Montgomery County, Ohio",374652,1228,74658,382,72134,1144,2524,1053,230713,805,210049,2835,20664,2981,69281,854,69173,883,108,184
0500000US39119,39119,"Muskingum County, Ohio",78320,462,17384,187,17023,290,361,290,47334,421,43867,1243,3467,1180,13602,229,13602,229,0,187
0500000US39133,39133,"Portage County, Ohio",144838,418,26737,187,26495,227,242,227,95424,370,89689,1342,5735,1314,22677,226,22677,226,0,187
0500000US39139,39139,"Richland County, Ohio",102150,620,21833,84,20131,939,1702,934,60238,546,54289,1890,5949,1832,20079,319,19999,345,80,134
0500000US39141,39141,"Ross County, Ohio",65592,708,14759,187,14219,460,540,460,40244,657,36241,1014,4003,920,10589,257,10537,274,52,88
0500000US39145,39145,"Scioto County, Ohio",70024,618,15177,331,14972,466,205,304,42865,492,39396,1215,3469,1142,11982,352,11954,351,28,52
0500000US39151,39151,"Stark County, Ohio",321773,904,65085,128,61421,1457,3664,1473,196212,777,181379,2059,14833,2049,60476,586,60292,599,184,231
0500000US39153,39153,"Summit County, Ohio",418684,1060,80177,349,78397,847,1780,778,263295,735,245781,2599,17514,2404,75212,512,75137,522,75,123
0500000US39155,39155,"Trumbull County, Ohio",175814,509,34505,58,31604,1063,2901,1050,105142,435,94601,1695,10541,1611,36167,287,36143,298,24,39
0500000US39157,39157,"Tuscarawas County, Ohio",87301,306,19366,10,17953,844,1413,844,51913,219,46891,1365,5022,1343,16022,319,15808,384,214,245
0500000US39165,39165,"Warren County, Ohio",191856,918,48204,139,47640,502,564,484,115931,871,111121,1765,4810,1424,27721,283,27721,283,0,187
