GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total living in area 1 year ago:,Margin of Error; Total living in area 1 year ago:,Estimate; Less than high school graduate,Margin of Error; Less than high school graduate,Estimate; High school graduate (includes equivalency),Margin of Error; High school graduate (includes equivalency),Estimate; Some college or associate's degree,Margin of Error; Some college or associate's degree,Estimate; Bachelor's degree,Margin of Error; Bachelor's degree,Estimate; Graduate or professional degree,Margin of Error; Graduate or professional degree,Estimate; Same house:,Margin of Error; Same house:,Estimate; Same house: - Less than high school graduate,Margin of Error; Same house: - Less than high school graduate,Estimate; Same house: - High school graduate (includes equivalency),Margin of Error; Same house: - High school graduate (includes equivalency),Estimate; Same house: - Some college or associate's degree,Margin of Error; Same house: - Some college or associate's degree,Estimate; Same house: - Bachelor's degree,Margin of Error; Same house: - Bachelor's degree,Estimate; Same house: - Graduate or professional degree,Margin of Error; Same house: - Graduate or professional degree,Estimate; Moved within same county:,Margin of Error; Moved within same county:,Estimate; Moved within same county: - Less than high school graduate,Margin of Error; Moved within same county: - Less than high school graduate,Estimate; Moved within same county: - High school graduate (includes equivalency),Margin of Error; Moved within same county: - High school graduate (includes equivalency),Estimate; Moved within same county: - Some college or associate's degree,Margin of Error; Moved within same county: - Some college or associate's degree,Estimate; Moved within same county: - Bachelor's degree,Margin of Error; Moved within same county: - Bachelor's degree,Estimate; Moved within same county: - Graduate or professional degree,Margin of Error; Moved within same county: - Graduate or professional degree,Estimate; Moved to different county within same state:,Margin of Error; Moved to different county within same state:,Estimate; Moved to different county within same state: - Less than high school graduate,Margin of Error; Moved to different county within same state: - Less than high school graduate,Estimate; Moved to different county within same state: - High school graduate (includes equivalency),Margin of Error; Moved to different county within same state: - High school graduate (includes equivalency),Estimate; Moved to different county within same state: - Some college or associate's degree,Margin of Error; Moved to different county within same state: - Some college or associate's degree,Estimate; Moved to different county within same state: - Bachelor's degree,Margin of Error; Moved to different county within same state: - Bachelor's degree,Estimate; Moved to different county within same state: - Graduate or professional degree,Margin of Error; Moved to different county within same state: - Graduate or professional degree,Estimate; Moved to different state:,Margin of Error; Moved to different state:,Estimate; Moved to different state: - Less than high school graduate,Margin of Error; Moved to different state: - Less than high school graduate,Estimate; Moved to different state: - High school graduate (includes equivalency),Margin of Error; Moved to different state: - High school graduate (includes equivalency),Estimate; Moved to different state: - Some college or associate's degree,Margin of Error; Moved to different state: - Some college or associate's degree,Estimate; Moved to different state: - Bachelor's degree,Margin of Error; Moved to different state: - Bachelor's degree,Estimate; Moved to different state: - Graduate or professional degree,Margin of Error; Moved to different state: - Graduate or professional degree
0500000US25003,25003,"Berkshire County, Massachusetts",89775,2209,6763,1129,30389,2275,26242,2276,16231,1798,10150,1394,81568,2134,5595,1047,28304,2143,24833,2183,13643,1650,9193,1269,5397,1401,1085,617,1714,575,971,545,1071,774,556,628,615,426,0,271,49,70,163,257,257,287,146,167,2195,1169,83,134,322,250,275,272,1260,727,255,274
0500000US25005,25005,"Bristol County, Massachusetts",367389,3172,74868,4499,108900,4518,96245,4426,60160,4150,27216,2308,331071,3781,65750,4315,97682,4494,86287,3985,55841,3774,25511,2124,25811,3118,6822,1627,7941,1874,7485,1619,2803,1212,760,385,5547,1393,908,564,1901,782,1333,683,1180,664,225,252,4960,1607,1388,735,1376,724,1140,481,336,283,720,438
0500000US25009,25009,"Essex County, Massachusetts",492732,4479,57773,3934,129461,4620,129356,5427,109329,5020,66813,4266,439836,4940,48732,3416,114056,4378,114744,5437,99636,4875,62668,4232,36095,3764,7649,1561,9556,2044,9911,1807,6190,1602,2789,728,8787,2241,832,520,3456,1409,1951,799,2017,981,531,292,8014,1856,560,343,2393,1001,2750,1117,1486,569,825,533
0500000US25011,25011,"Franklin County, Massachusetts",52758,1237,5456,1228,16064,1613,15158,1420,8935,1110,7145,1191,46232,1484,4779,1078,14818,1578,11937,1226,8244,1061,6454,1103,3561,1121,180,184,676,381,2142,986,275,274,288,350,2070,888,182,237,395,286,845,484,306,206,342,316,895,581,315,468,175,202,234,233,110,134,61,101
0500000US25013,25013,"Hampden County, Massachusetts",300310,4000,47335,3102,96792,4503,86223,3717,44412,2681,25548,2279,268437,4332,39591,3378,88574,4372,76771,3695,40491,2529,23010,2107,22280,3168,6350,1611,6186,1365,5649,1454,2607,983,1488,626,4235,1531,856,565,656,407,1789,1014,720,587,214,204,5358,1543,538,462,1376,666,2014,927,594,330,836,530
0500000US25015,25015,"Hampshire County, Massachusetts",92874,2113,6978,1246,21745,2023,24296,2279,21928,2373,17927,1833,82449,2136,6167,1176,19680,1912,21771,2063,18680,1963,16151,1770,5378,1315,409,294,1342,662,1426,793,1704,822,497,311,3488,1088,402,347,703,403,668,457,814,593,901,486,1559,688,0,271,20,34,431,362,730,500,378,272
0500000US25017,25017,"Middlesex County, Massachusetts",1010122,6736,83998,5041,230227,7880,195582,6963,256193,6673,244122,6632,887982,7810,74508,4704,205428,7257,178434,6615,218529,7177,211083,5847,74638,6174,7160,2092,16349,2637,12052,2016,20568,2807,18509,2657,24554,3511,1402,494,5584,1948,3086,968,8379,1715,6103,1296,22948,2956,928,470,2866,1172,2010,736,8717,1745,8427,1711
0500000US25021,25021,"Norfolk County, Massachusetts",447654,4633,28925,2858,106034,5603,102672,4423,115773,4254,94250,4858,403582,4496,25690,2790,93538,5366,92446,4242,105161,3916,86747,4654,21489,3043,1111,540,7333,1738,5292,1295,5237,1483,2516,751,17712,3166,1997,962,4527,1848,3614,1014,4090,1063,3484,1070,4871,998,127,129,636,351,1320,653,1285,481,1503,582
0500000US25023,25023,"Plymouth County, Massachusetts",328430,3328,26783,2957,103549,5053,95022,4847,65995,3674,37081,3066,296971,3810,22304,2647,94163,4989,86264,4723,60779,3663,33461,2642,18863,3081,2717,1004,5939,1660,5482,1697,3061,1109,1664,609,8300,2066,1524,701,2125,976,2154,852,1216,641,1281,875,4296,1396,238,257,1322,761,1122,628,939,443,675,534
0500000US25025,25025,"Suffolk County, Massachusetts",479246,6211,87542,6147,118890,6086,91545,5553,97456,5761,83813,4588,396565,6621,74692,5768,100116,5678,77395,4989,77725,5946,66637,4085,48228,5359,9541,2697,13823,3266,9805,2240,8418,1874,6641,1641,19680,3264,2455,1220,3584,1212,2652,734,5379,1501,5610,1572,14773,2589,854,483,1367,648,1693,773,5934,1768,4925,948
0500000US25027,25027,"Worcester County, Massachusetts",517356,3895,56122,3969,158385,6310,132592,5837,104662,4388,65595,4104,467342,4977,49478,3898,142100,5624,119518,5673,96011,4074,60235,3928,35816,4441,5653,1381,13339,3058,9623,2028,4278,1100,2923,1016,5909,1264,622,321,1929,670,1033,484,1844,895,481,335,8289,1986,369,274,1017,600,2418,938,2529,1081,1956,781
0500000US26005,26005,"Allegan County, Michigan",75026,1605,7997,1550,28822,1779,23431,1932,10157,1256,4619,1016,68064,1714,6929,1372,26479,1641,21573,1985,9109,1140,3974,905,3903,1066,929,479,1301,479,832,391,571,368,270,320,2562,857,71,84,757,460,1012,484,414,229,308,293,497,430,68,111,285,338,14,23,63,103,67,110
0500000US26017,26017,"Bay County, Michigan",74342,1377,8751,1211,25339,1708,24908,1804,10018,1469,5326,1159,66625,1663,7666,1060,22094,1538,22640,1723,9369,1503,4856,1183,5296,1459,724,451,2414,886,1528,673,231,201,399,390,1403,664,256,209,513,286,547,541,87,106,0,271,1018,716,105,126,318,322,193,237,331,379,71,120
0500000US26021,26021,"Berrien County, Michigan",107779,1740,13825,1525,32975,2398,37657,2422,14644,1770,8678,1190,94587,2100,11084,1235,28742,2099,33553,2498,13327,1566,7881,1087,9106,1650,1680,493,2847,790,3240,948,1011,699,328,219,1290,619,527,401,224,171,424,328,59,98,56,94,2796,1032,534,354,1162,835,440,290,247,235,413,464
0500000US26025,26025,"Calhoun County, Michigan",89976,1788,11007,1621,32314,2347,30455,2142,11125,1427,5075,1127,78149,2311,8408,1242,27679,2082,26840,2148,10566,1491,4656,968,8599,1875,1615,763,3321,955,2872,1018,372,309,419,361,2535,820,691,531,1089,525,717,429,38,47,0,271,693,474,293,320,225,194,26,56,149,242,0,271
0500000US26037,26037,"Clinton County, Michigan",45825,1130,3296,806,14866,1447,15021,1363,8505,1290,4137,930,42599,1053,2969,714,14210,1428,13820,1260,7810,1257,3790,900,1534,602,277,293,391,279,600,296,156,190,110,157,1097,593,50,85,212,168,344,281,254,229,237,266,595,427,0,271,53,73,257,240,285,248,0,271
0500000US26045,26045,"Eaton County, Michigan",72144,2160,4556,848,21215,1914,28676,2182,11065,1369,6632,1158,65816,1813,3958,739,19369,1821,26462,2044,9786,1274,6241,1141,2099,718,197,146,750,437,690,389,462,377,0,271,3370,1248,401,426,875,531,1363,621,590,351,141,128,859,585,0,271,221,192,161,196,227,299,250,283
0500000US26049,26049,"Genesee County, Michigan",284934,3426,32695,2450,98816,3667,99629,4228,34426,2745,19368,2089,252235,3553,28886,2315,87681,3568,87570,3975,30429,2726,17669,1949,20984,3089,2799,775,7025,1493,8281,1758,2208,775,671,483,7282,1743,826,403,2507,801,2164,816,1284,553,501,367,4433,1458,184,243,1603,789,1614,760,505,377,527,330
0500000US26055,26055,"Grand Traverse County, Michigan",58379,1367,4059,1122,17099,1952,21933,1739,10699,1440,4589,1006,50741,1690,3687,1035,14765,1811,18987,1795,9130,1231,4172,910,4953,1629,229,178,1297,593,2298,1063,841,550,288,297,1851,600,143,137,615,342,460,253,513,360,120,133,834,701,0,271,422,625,188,160,215,302,9,15
0500000US26065,26065,"Ingham County, Michigan",167924,2750,13508,1932,40246,2907,57527,3303,32445,2880,24198,2295,142989,2395,10792,1616,34521,2569,48442,3021,27669,2594,21565,2125,12355,1700,1143,548,3495,959,4712,1023,1984,616,1021,404,9074,2004,1392,824,1862,787,3273,1068,1936,811,611,387,3506,1010,181,288,368,268,1100,565,856,444,1001,505
0500000US26073,26073,"Isabella County, Michigan",34308,925,3210,626,11525,1002,10359,974,5555,829,3659,676,29509,1151,2587,528,9946,920,8857,896,4583,754,3536,666,3399,1056,296,214,1197,597,1037,436,762,360,107,113,1115,524,327,329,173,183,436,290,163,156,16,26,285,356,0,271,209,345,29,50,47,72,0,271
0500000US26075,26075,"Jackson County, Michigan",107053,1667,11548,1617,40433,2970,36645,2474,13433,1642,4994,1032,94081,2472,9542,1478,35188,2660,32832,2551,11776,1435,4743,982,7855,1855,1247,673,3089,1034,2691,1053,714,375,114,134,3507,893,615,430,1754,555,979,410,109,131,50,86,1610,759,144,155,402,358,143,167,834,539,87,138
