FIPS,living_wage,hh_adults,hh_children,stay_at_home
40143,74065.1365145199,1,3,FALSE
45045,64804.44470025605,1,3,FALSE
47037,66905.43865811767,1,3,FALSE
47093,63804.94272030246,1,3,FALSE
47157,64335.29070966558,1,3,FALSE
51760,77226.82645110777,1,3,FALSE
1073,38287.04523209965,2,0,TRUE
12031,38225.85123332698,2,0,TRUE
18097,37022.3692574645,2,0,TRUE
21111,36716.39926360116,2,0,TRUE
26081,37552.71724682763,2,0,TRUE
29095,39306.945211644124,2,0,TRUE
29189,39021.37321737168,2,0,TRUE
29510,39021.37321737168,2,0,TRUE
31055,38939.78121900812,2,0,TRUE
37081,38225.85123332698,2,0,TRUE
37119,40184.05919405238,2,0,TRUE
37183,40918.387179324396,2,0,TRUE
39049,37389.5332501005,2,0,TRUE
39061,36430.8272693287,2,0,TRUE
39113,35635.30528528401,2,0,TRUE
40109,37267.14525255517,2,0,TRUE
40143,36981.573258282726,2,0,TRUE
45045,37899.483239872745,2,0,TRUE
47037,37736.29924314564,2,0,TRUE
47093,36104.45927587447,2,0,TRUE
47157,36247.245273010696,2,0,TRUE
51760,40755.20318259729,2,0,TRUE
1073,45263.16109218387,2,1,TRUE
12031,46181.07107377391,2,1,TRUE
18097,44406.44510936651,2,1,TRUE
21111,44651.22110445719,2,1,TRUE
26081,44222.86311304851,2,1,TRUE
29095,47588.53304554527,2,1,TRUE
29189,47955.69703818129,2,1,TRUE
29510,47955.69703818129,2,1,TRUE
31055,46650.22506436436,2,1,TRUE
37081,44814.405101184304,2,1,TRUE
37119,46976.593057818594,2,1,TRUE
37183,47751.717042272394,2,1,TRUE
39049,44549.23110650273,2,1,TRUE
39061,43672.11712409449,2,1,TRUE
39113,42591.02314577735,2,1,TRUE
40109,45242.763092592984,2,1,TRUE
40143,45120.375095047646,2,1,TRUE
45045,45242.763092592984,2,1,TRUE
47037,45079.57909586587,2,1,TRUE
47093,42978.585138004244,2,1,TRUE
47157,42815.40114127712,2,1,TRUE
51760,48873.60701977132,2,1,TRUE
1073,50464.6509878607,2,2,TRUE
12031,51178.58097354183,2,2,TRUE
18097,49669.12900381601,2,2,TRUE
21111,49873.10899972491,2,2,TRUE
26081,49526.34300667979,2,2,TRUE
29095,52973.60493754011,2,2,TRUE
29189,53340.76893017613,2,2,TRUE
29510,53340.76893017613,2,2,TRUE
31055,52076.092955540975,2,2,TRUE
37081,50056.69099604291,2,2,TRUE
37119,52198.48095308631,2,2,TRUE
37183,52994.00293713101,2,2,TRUE
39049,49811.91500095224,2,2,TRUE
39061,48934.801018543985,2,2,TRUE
39113,47874.10503981773,2,2,TRUE
40109,50464.6509878607,2,2,TRUE
40143,50342.262990315365,2,2,TRUE
45045,50525.84498663337,2,2,TRUE
47037,50056.69099604291,2,2,TRUE
47093,47976.095037772175,2,2,TRUE
47157,47792.51304145418,2,2,TRUE
51760,54095.49491503904,2,2,TRUE
1073,56155.69287371889,2,3,TRUE
12031,56747.234861854675,2,3,TRUE
18097,55278.57889131063,2,3,TRUE
21111,55686.53888312842,2,3,TRUE
