GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US12071,12071,"Lee County, Florida",330824,787,158194,346,3491,919,14089,1798,46359,2951,37134,2415,11022,1502,27850,2520,18249,1665,172630,580,3147,828,12606,1602,58309,3362,41873,3077,14981,1833,27696,2765,14018,1861
0500000US12073,12073,"Leon County, Florida",97346,192,47050,178,662,431,3435,981,7389,1152,9795,1113,3265,778,12784,1513,9720,1185,50296,72,513,318,2304,705,11278,1260,9937,1519,4652,887,13294,1505,8318,1200
0500000US12081,12081,"Manatee County, Florida",185306,573,86914,505,1290,645,8301,1415,26662,2532,19111,1776,7283,1231,15329,1624,8938,1206,98392,280,1604,588,7393,1182,36715,2600,19685,1989,8622,1227,15340,1727,9033,1346
0500000US12083,12083,"Marion County, Florida",186575,300,88227,300,3461,895,10203,1715,31819,2605,20995,1847,4893,980,11110,1977,5746,927,98348,300,3278,887,10742,1554,40365,2479,21216,2023,9039,1533,9367,1403,4341,910
0500000US12085,12085,"Martin County, Florida",91143,592,43138,592,584,379,3464,854,12235,1419,8661,1217,3373,1084,9806,1339,5015,952,48005,300,621,440,2870,846,16017,1646,10714,1406,4637,1013,9055,1238,4091,873
0500000US12086,12086,"Miami-Dade County, Florida",293465,959,145528,550,4417,1087,8530,1576,31001,2979,23133,2249,9677,1588,38910,3062,29860,2503,147937,623,5188,1298,9000,1676,34021,2861,25403,2305,13152,2013,35408,2696,25765,2460
0500000US12087,12087,"Monroe County, Florida",45730,300,24421,300,96,109,1406,558,6032,1085,5909,1093,2480,910,5160,970,3338,811,21309,300,0,300,937,493,6001,1006,5030,828,2744,676,3635,796,2962,829
0500000US12089,12089,"Nassau County, Florida",41235,771,20048,771,507,268,2346,874,7088,1583,3138,1098,1447,702,3377,984,2145,798,21187,300,575,343,2005,867,7211,1560,3979,1053,1825,861,2888,875,2704,1006
0500000US12091,12091,"Okaloosa County, Florida",99045,676,48619,676,742,493,2605,762,10808,1358,11807,1538,5333,1192,10633,1370,6691,939,50426,300,1056,428,3923,999,15479,1501,12448,1358,5267,1129,8606,1231,3647,691
0500000US12095,12095,"Orange County, Florida",366313,1453,181275,870,2911,774,12535,1622,40775,2953,34337,2087,20130,2264,48776,3166,21811,2180,185038,1036,3678,913,9773,1359,53782,2778,37790,2900,17764,2061,42823,2024,19428,1926
