SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,DEMOGRAPHIC,SUPPRESSED,GRADS,ACADEMIC,ACADEMICALT,CAREER,CAREERALT,NONDUP,EL,BONUS,TRANSITIONRATE,TRANRATEWBONUS
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,MIG,Y,0,,,,,,,,,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,LUP,N,120,33,1,57,0,67,0,4,55.8,56.7
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,LUN,N,105,59,0,65,0,80,0,2,76.2,76.7
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,LEP,Y,0,,,,,,,,,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,LEN,N,225,92,1,122,0,147,0,6,65.3,66
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,HOM,Y,0,,,,,,,,,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,FOS,Y,5,,,,,,,,,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETW,N,211,85,1,115,0,138,0,6,65.4,66.1
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETP,Y,0,,,,,,,,,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETO,Y,0,,,,,,,,,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETI,Y,0,,,,,,,,,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETH,N,11,4,0,4,0,6,0,0,54.5,54.5
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETB,Y,2,,,,,,,,,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETA,Y,1,,,,,,,,,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ELM,Y,0,,,,,,,,,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,CSG,N,39,9,1,15,0,19,0,0,48.7,48.7
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ACD,N,28,4,1,10,0,12,0,0,42.9,42.9
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,TST,N,225,92,1,122,0,147,0,6,65.3,66
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,SXF,N,120,52,1,69,0,85,0,1,70.8,71
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,MIL,Y,0,,,,,,,,,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,MIG,Y,0,,,,,,,,,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,LUP,N,120,33,1,57,0,67,0,4,55.8,56.7
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,LUN,N,105,59,0,65,0,80,0,2,76.2,76.7
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,LEP,Y,0,,,,,,,,,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,LEN,N,225,92,1,122,0,147,0,6,65.3,66
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,HOM,Y,0,,,,,,,,,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,FOS,Y,5,,,,,,,,,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETW,N,211,85,1,115,0,138,0,6,65.4,66.1
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETP,Y,0,,,,,,,,,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETO,Y,0,,,,,,,,,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETI,Y,0,,,,,,,,,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETH,N,11,4,0,4,0,6,0,0,54.5,54.5
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETB,Y,2,,,,,,,,,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETA,Y,1,,,,,,,,,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ELM,Y,0,,,,,,,,,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,CSG,N,39,9,1,15,0,19,0,0,48.7,48.7
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ACO,N,197,88,0,112,0,135,0,6,68.5,69.3
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,SXM,N,105,40,0,53,0,62,0,5,59,60.2
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,HOM,Y,1,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,LEN,N,268,131,0,53,0,160,1,7,59.7,60.4
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETW,N,249,123,0,53,0,151,0,7,60.6,61.3
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETP,Y,0,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETO,Y,6,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETI,Y,1,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETH,Y,9,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETB,Y,2,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETA,Y,1,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ELM,Y,2,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,CSG,N,38,10,0,0,0,11,1,0,28.9,28.9
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ACO,N,247,128,0,53,0,157,1,7,63.6,64.3
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ACD,N,21,3,0,0,0,3,0,0,14.3,14.3
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,TST,N,268,131,0,53,0,160,1,7,59.7,60.4
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,SXM,N,117,60,0,20,0,72,1,5,61.5,62.6
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,SXF,N,151,71,0,33,0,88,0,2,58.3,58.6
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,MIL,Y,0,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,MIG,Y,0,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,LUP,N,89,36,0,17,0,44,1,3,49.4,50.3
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,LUN,N,179,95,0,36,0,116,0,4,64.8,65.4
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,LEP,Y,0,,,,,,,,,
