"GEO_ID","NAME","B20017_001E","B20017_001M","B20017_002E","B20017_002M","B20017_003E","B20017_003M","B20017_004E","B20017_004M","B20017_005E","B20017_005M","B20017_006E","B20017_006M","B20017_007E","B20017_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other (dollars)","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other (dollars)"
"0500000US12071","Lee County, Florida","31140","944","34539","2451","41672","1382","14730","1788","26535","874","38273","2317","12020","709"
"0500000US12073","Leon County, Florida","27133","1481","30949","1667","50322","1686","9309","1779","25074","2520","37370","1583","9418","1524"
"0500000US12081","Manatee County, Florida","31440","791","35005","1664","44943","3671","14847","1917","26592","971","36699","2330","11395","1054"
"0500000US12083","Marion County, Florida","27471","1576","32157","1988","40582","3905","10518","1669","25010","1400","30780","2163","11991","1191"
"0500000US12085","Martin County, Florida","35146","4700","41019","8205","52098","7290","16795","7739","27561","3777","40902","2549","12048","2425"
"0500000US12086","Miami-Dade County, Florida","30280","274","32201","368","38978","1619","13652","1154","26242","418","34618","1036","11915","316"
"0500000US12087","Monroe County, Florida","35313","4033","40704","4884","50044","4525","16692","6018","28090","3717","38906","3682","13670","3423"
"0500000US12089","Nassau County, Florida","33377","3916","40179","5800","55020","6673","10765","1900","28445","4756","39421","4005","11119","1936"
"0500000US12091","Okaloosa County, Florida","31952","1446","40027","3629","50790","3556","10012","1550","26171","1198","38049","2314","10094","1287"
"0500000US12095","Orange County, Florida","30731","546","34022","2377","43222","2249","14148","1878","27142","972","37255","1865","12259","650"
"0500000US12097","Osceola County, Florida","25102","1087","26378","1319","36025","1629","13133","2342","23203","1521","31496","1517","11855","1093"
"0500000US12099","Palm Beach County, Florida","32024","554","36522","1070","49620","2856","13710","1463","28142","1544","41367","684","13364","997"
"0500000US12101","Pasco County, Florida","33797","2053","40075","1746","47860","2656","12474","1474","28336","2637","40449","1645","11995","733"
"0500000US12103","Pinellas County, Florida","32736","1103","35900","1430","47572","2155","12298","879","30938","818","40858","875","12472","1016"
"0500000US12105","Polk County, Florida","30517","689","34717","1953","41124","753","12105","811","26268","1143","33093","1838","12016","699"
