State code (STATEFIP),State name,PUMA of Migration (MIGPUMA or MIGPUMA1),PUMA (PUMA)
25,Massachusetts,3100,3100
25,Massachusetts,3200,3200
25,Massachusetts,3300,03301-03305
25,Massachusetts,3400,3400
25,Massachusetts,3500,3500
25,Massachusetts,3600,3600
25,Massachusetts,3700,3700
25,Massachusetts,3800,3800
25,Massachusetts,3900,3900
25,Massachusetts,4000,4000
25,Massachusetts,4100,4100
25,Massachusetts,4200,4200
25,Massachusetts,4300,4300
25,Massachusetts,4400,4400
25,Massachusetts,4500,4500
25,Massachusetts,4600,4600
25,Massachusetts,4700,4700
25,Massachusetts,4800,4800
26,Michigan,100,100
26,Michigan,200,200
26,Michigan,300,300
26,Michigan,400,400
26,Michigan,500,500
26,Michigan,600,600
26,Michigan,700,700
26,Michigan,800,800
26,Michigan,900,900
26,Michigan,1000,1000
26,Michigan,1100,1100
26,Michigan,1200,1200
26,Michigan,1390,01300-01403
26,Michigan,1500,1500
26,Michigan,1600,1600
26,Michigan,1700,1700
26,Michigan,1890,01800-02000
26,Michigan,2100,2100
26,Michigan,2290,02200-02302
26,Michigan,2400,2400
26,Michigan,2500,02501-02508
26,Michigan,2600,02601-02602
26,Michigan,2700,2700
26,Michigan,2800,2800
26,Michigan,2900,2900
26,Michigan,3000,3000
26,Michigan,3100,3100
26,Michigan,3290,03200-03300
26,Michigan,3400,3400
26,Michigan,3500,3500
26,Michigan,3690,03600-03807
26,Michigan,3990,03900-04104
27,Minnesota,100,100
27,Minnesota,200,200
27,Minnesota,300,300
27,Minnesota,400,400
27,Minnesota,500,500
27,Minnesota,600,600
27,Minnesota,700,700
27,Minnesota,800,800
27,Minnesota,900,900
27,Minnesota,1000,01001-01002
27,Minnesota,1100,1100
27,Minnesota,1200,01201-01203
27,Minnesota,1390,01301-01406
27,Minnesota,1590,01501-01602
27,Minnesota,1700,1700
27,Minnesota,1800,1800
27,Minnesota,1900,1900
27,Minnesota,2000,2000
27,Minnesota,2100,2100
27,Minnesota,2200,2200
27,Minnesota,2300,2300
27,Minnesota,2400,2400
27,Minnesota,2500,2500
28,Mississippi,100,100
28,Mississippi,200,200
28,Mississippi,300,300
28,Mississippi,400,400
28,Mississippi,500,500
28,Mississippi,600,600
28,Mississippi,700,700
28,Mississippi,800,800
28,Mississippi,900,900
28,Mississippi,1000,1000
28,Mississippi,1100,1100
28,Mississippi,1200,1200
28,Mississippi,1300,1300
28,Mississippi,1490,01400-01500
28,Mississippi,1600,1600
28,Mississippi,1700,1700
28,Mississippi,1800,1800
28,Mississippi,1900,1900
28,Mississippi,2000,2000
28,Mississippi,2100,2100
28,Mississippi,2200,2200
28,Mississippi,2300,2300
29,Missouri,100,100
29,Missouri,200,200
29,Missouri,300,300
29,Missouri,400,400
29,Missouri,500,500
29,Missouri,600,600
29,Missouri,700,700
29,Missouri,890,00800-01100
29,Missouri,1200,1200
29,Missouri,1300,1300
29,Missouri,1400,1400
29,Missouri,1500,1500
29,Missouri,1600,01601-01602
29,Missouri,1700,01701-01708
29,Missouri,1800,01801-01803
29,Missouri,1900,1900
29,Missouri,2000,2000
29,Missouri,2100,2100
29,Missouri,2200,2200
29,Missouri,2300,2300
29,Missouri,2490,02400-02500
29,Missouri,2600,2600
29,Missouri,2700,2700
30,Montana,100,100
30,Montana,200,200
30,Montana,300,300
30,Montana,400,400
30,Montana,500,500
30,Montana,600,600
30,Montana,700,700
31,Nebraska,100,100
31,Nebraska,200,200
31,Nebraska,300,300
31,Nebraska,400,400
31,Nebraska,500,500
31,Nebraska,600,600
31,Nebraska,700,00701-00702
31,Nebraska,800,00801-00802
31,Nebraska,900,00901-00904
32,Nevada,190,00100-00200
32,Nevada,300,300
32,Nevada,400,400
32,Nevada,500,00501-00511
33,New Hampshire,100,100
33,New Hampshire,200,200
33,New Hampshire,300,300
33,New Hampshire,400,400
33,New Hampshire,500,500
33,New Hampshire,600,600
33,New Hampshire,700,700
33,New Hampshire,800,800
33,New Hampshire,900,900
33,New Hampshire,1000,1000
33,New Hampshire,1100,1100
34,New Jersey,100,00101-00102
34,New Jersey,200,200
34,New Jersey,300,00301-00306
34,New Jersey,490,00400-00502
34,New Jersey,690,00601-00703
34,New Jersey,800,800
34,New Jersey,900,00901-00905
34,New Jersey,1000,01001-01002
34,New Jersey,1100,01101-01105
34,New Jersey,1200,01201-01203
34,New Jersey,1390,01301-01404
34,New Jersey,1500,01501-01504
34,New Jersey,1600,1600
34,New Jersey,1700,1700
34,New Jersey,1890,01800-01903
34,New Jersey,2000,02001-02003
34,New Jersey,2100,02101-02104
34,New Jersey,2200,02201-02202
34,New Jersey,2300,02301-02302
34,New Jersey,2400,2400
35,New Mexico,100,100
35,New Mexico,200,200
35,New Mexico,300,300
35,New Mexico,400,400
35,New Mexico,500,500
35,New Mexico,600,00601-00605
35,New Mexico,700,700
35,New Mexico,800,800
35,New Mexico,900,900
35,New Mexico,1000,1000
35,New Mexico,1100,1100
36,New York,100,100
