GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
0500000US41071,41071,"Yamhill County, Oregon",105722,*****,54239,937,3046,581,4038,1009,3895,967,1978,385,1705,356,723,465,1029,432,2561,787,3272,207,3480,631,3654,832,3655,831,3145,544,3002,278,3525,733,1300,589,1726,538,1447,606,1477,400,2330,495,2081,544,740,396,430,320,51483,937,2689,386,2897,609,3019,639,2124,422,1460,133,769,359,709,344,2129,659,2945,477,3588,761,3184,732,3203,794,3255,582,3079,427,3859,604,1184,452,1979,562,1314,416,1835,483,2196,550,1765,523,1302,514,999,456
0500000US42001,42001,"Adams County, Pennsylvania",102336,*****,50377,567,2505,199,2591,664,3249,611,1875,264,1516,176,1181,352,586,299,1634,403,2813,213,2858,304,2605,522,3310,573,3362,286,3770,257,3296,523,1719,423,2386,485,1106,342,1954,462,2462,498,1611,385,843,308,1145,443,51959,567,2734,268,2586,623,3040,506,1901,203,1469,143,664,361,427,254,2260,467,2936,328,2718,304,2438,478,2810,517,3387,180,3759,102,3681,562,1530,510,2521,507,1217,356,2540,577,2543,512,2031,400,1160,304,1607,356
0500000US42003,42003,"Allegheny County, Pennsylvania",1223048,*****,591226,470,32973,46,28854,2354,35504,2389,20643,465,16113,247,5386,941,7984,1410,24690,1481,48570,77,46140,139,36683,1854,33854,1818,36071,430,37832,269,41518,2342,18229,1950,25364,1828,14162,1589,19263,1655,23133,1621,15655,1610,10716,1355,11889,1237,631822,470,31771,45,28388,2066,32986,2063,19194,458,16555,543,7102,1452,7033,1165,23778,1590,48148,169,44443,232,34771,2210,35431,2183,36999,136,40839,94,46300,1974,21702,1944,25585,1936,16531,1582,20905,1709,29711,1661,23880,1670,15590,1502,24180,1771
0500000US42005,42005,"Armstrong County, Pennsylvania",65642,*****,32717,367,1573,57,1814,385,1801,386,1179,100,745,99,254,161,493,295,1014,321,1876,203,1896,180,2055,395,1675,382,2225,80,2342,179,2715,449,1138,332,1597,374,1046,331,1317,358,1523,346,1012,313,733,292,694,277,32925,367,1536,141,1838,344,1776,337,1082,179,757,274,358,170,181,189,1044,251,1681,98,1665,7,1896,354,1743,357,2152,36,2330,179,2785,406,1098,364,1389,382,1225,398,1369,380,1362,441,1561,422,945,326,1152,452
0500000US42007,42007,"Beaver County, Pennsylvania",166140,*****,79499,575,4272,399,4242,646,4610,624,2589,161,1875,339,950,416,1042,583,2557,564,4742,272,4417,120,5540,769,3727,599,5202,363,5903,337,5799,587,2808,620,4109,640,2068,577,3875,576,3300,597,2771,492,1745,484,1356,422,86641,575,4264,356,5224,669,4451,691,2782,355,1657,339,469,230,775,381,3139,611,4857,400,4545,280,5270,942,4578,832,5145,305,6024,253,6792,826,2756,654,3758,781,1762,443,3503,756,5159,737,3770,654,2355,532,3606,680
0500000US42011,42011,"Berks County, Pennsylvania",417854,*****,205608,541,12790,345,12964,1452,14145,1527,8401,326,6707,457,3110,903,2598,795,8233,1188,13332,295,11979,361,12531,1267,11668,1235,13400,450,14364,395,15504,1301,4369,897,8086,1076,4844,776,6476,800,7556,977,5714,949,4020,744,2817,741,212246,541,11388,345,13470,1325,12241,1241,8715,334,6305,407,2679,717,3262,1103,7883,1196,12478,383,13154,620,11295,1551,12681,1434,13813,435,14944,390,15815,1101,6146,1021,6568,942,5440,937,6568,792,8660,1005,7618,1129,4289,944,6834,1019
0500000US42013,42013,"Blair County, Pennsylvania",123457,*****,60279,387,3442,118,2919,574,4196,592,2544,223,1622,267,680,307,618,293,1945,425,4375,328,3462,161,3434,548,3626,716,3847,148,4234,397,3968,739,1933,618,2701,616,1810,428,1980,531,2750,582,2043,474,1226,414,924,357,63178,387,3162,119,3442,672,3535,613,2107,244,1320,96,788,363,934,377,1394,467,4465,435,3314,153,3589,659,3285,647,4104,354,4177,208,5130,618,1720,527,2743,677,1729,422,2234,584,3152,570,2630,489,1951,462,2273,480
0500000US42017,42017,"Bucks County, Pennsylvania",628341,*****,308229,872,15713,457,16535,1338,21240,1331,13215,574,7701,617,3613,948,4172,1128,10434,1342,17263,481,17430,463,17373,1501,19059,1647,21354,670,24079,481,24214,1706,9224,1300,14569,1518,6905,1004,10115,1069,14293,1039,7905,1149,6135,1139,5688,974,320112,872,15209,457,16177,1711,19730,1716,12148,580,6229,481,2916,964,3217,913,11318,1368,17636,918,17557,78,18640,1798,18673,1835,22199,661,24959,379,25228,1432,10969,1301,14050,1186,7842,1134,11737,1105,14635,1419,10737,1483,8440,1285,9866,1427
0500000US42019,42019,"Butler County, Pennsylvania",187108,*****,93136,508,5054,196,4024,664,6794,714,3783,237,2760,314,1041,468,794,319,3627,508,5605,429,5396,246,5183,776,6025,748,6423,228,6873,42,7184,802,3370,661,3731,718,2682,433,3180,605,3762,525,2805,442,1526,374,1514,371,93972,508,4679,202,3966,667,6192,634,3254,183,2757,202,1653,443,1452,445,2385,446,4877,145,5287,238,4662,726,5881,689,6626,263,7020,199,7241,947,2518,734,4655,805,2381,593,3858,585,3832,640,2864,670,1997,463,3935,719
0500000US42021,42021,"Cambria County, Pennsylvania",133054,*****,64757,502,3023,154,3473,710,3694,698,2343,162,1983,255,1245,430,674,274,2394,423,3783,233,3264,216,3598,570,3678,618,4062,164,4406,134,4661,680,2121,432,3544,585,1745,375,2847,384,3136,466,2187,423,1388,373,1508,374,68297,502,3478,327,3600,582,3573,541,2246,138,1895,181,842,338,1089,346,2338,390,3487,282,3114,87,3341,658,3779,690,4041,147,4481,159,4322,606,2307,506,3767,569,2373,583,2345,509,3574,523,2978,484,2153,446,3174,541
0500000US42025,42025,"Carbon County, Pennsylvania",63853,*****,31354,392,1447,138,1689,685,1672,588,1344,265,439,344,540,329,836,405,438,322,1775,241,1826,247,2642,454,943,443,2236,199,2623,318,2335,502,798,489,1855,539,831,343,1095,382,1795,416,960,429,1132,447,103,131,32499,392,1376,128,1338,456,2535,472,966,40,517,84,238,347,310,367,901,435,1665,218,2163,445,1491,496,1762,500,2273,239,3044,347,2716,468,933,365,1269,464,594,318,1529,463,1716,495,1323,476,655,323,1185,448
