GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
310M200US44140,44140,"Springfield, MA Metro Area",286078,5487,13673,1716,34699,2096,105619,3281,64840,2082,30559,2240,21812,2014,14876,1526,226178,6013,6275,1341,22828,2113,86579,3646,53743,2632,25317,2200,19062,1845,12374,1512,22994,3201,2274,900,3086,1140,8218,1604,4983,1190,2656,891,986,456,791,377,7600,1504,471,326,2480,1078,2687,900,1245,587,339,248,263,216,115,137,10443,1286,3198,702,3883,899,1761,685,392,267,536,287,356,255,317,208,5167,1299,646,431,875,538,2149,894,564,351,485,278,318,260,130,117,13696,1742,809,392,1547,466,4225,1062,3913,1228,1226,462,827,369,1149,500
310M200US44180,44180,"Springfield, MO Metro Area",204559,4052,7492,1222,28258,2135,84204,2644,43473,1888,18827,1648,12368,1550,9937,1362,165997,4986,5767,1084,20814,2356,68986,2991,36237,2165,16437,1713,9996,1513,7760,1218,20161,2720,889,516,3755,1365,9042,1896,3636,912,1302,528,780,374,757,430,1093,533,41,81,189,310,435,316,52,78,136,233,240,317,0,184,4343,1217,477,285,1652,839,1078,589,884,537,10,18,203,224,39,62,5218,1451,268,274,1400,890,2074,880,835,483,166,152,88,106,387,280,7747,1455,50,63,448,302,2589,843,1829,661,776,426,1061,952,994,500
310M200US44220,44220,"Springfield, OH Metro Area",58257,2093,2762,686,6201,814,23103,1150,12784,1114,5611,937,4104,702,3692,796,47577,2263,2112,728,3934,787,19380,1212,10697,1154,4954,919,3568,672,2932,704,6209,1132,294,240,1072,468,2527,707,1032,426,657,389,346,271,281,219,663,333,27,45,98,113,106,115,185,167,0,190,86,119,161,182,1938,591,237,247,994,384,260,182,239,195,0,190,18,29,190,240,659,344,92,110,0,190,337,278,160,166,0,190,70,89,0,190,1211,396,0,190,103,90,493,322,471,340,0,190,16,27,128,104
310M200US44300,44300,"State College, PA Metro Area",72670,2854,3132,662,14015,2394,26809,1422,15095,955,6698,828,4528,699,2393,605,51785,2698,1583,563,7985,1748,19737,1686,11593,966,5340,765,3527,741,2020,576,5765,1089,289,206,826,651,2301,725,1319,487,516,271,354,251,160,131,2232,775,167,159,695,401,1202,530,62,100,106,128,0,172,0,172,7159,1455,1001,314,3431,1033,1279,700,686,493,461,307,246,268,55,76,2017,696,92,110,881,543,795,360,125,118,0,172,39,65,85,107,3712,938,0,172,197,193,1495,519,1310,636,275,215,362,271,73,84
310M200US44700,44700,"Stockton-Lodi, CA Metro Area",269088,6509,8426,1258,31305,2209,121351,3177,59225,2456,22863,1916,14623,1710,11295,1608,203777,5899,6025,1116,21335,2293,92462,3837,45725,2490,18780,1724,11235,1625,8215,1280,40396,4073,1726,674,6170,1667,20233,2659,8189,1323,2257,881,1098,487,723,377,4314,962,23,39,740,494,1591,773,1187,603,213,180,235,183,325,346,5866,1740,326,232,916,615,2027,846,1206,716,371,390,513,442,507,405,4503,1317,287,239,1339,881,1467,597,834,462,286,258,199,167,91,108,10232,1779,39,64,805,518,3571,1043,2084,789,956,433,1343,629,1434,687
310M200US45060,45060,"Syracuse, NY Metro Area",302365,4478,11809,1274,29574,1683,118973,2687,71933,1860,32758,1870,21442,1950,15876,1680,239559,5214,6339,1095,18709,1740,96718,2834,58988,2076,27794,1876,18310,1902,12701,1481,24780,2703,2140,570,2687,873,9547,1626,5980,1005,2308,698,1056,419,1062,377,6954,1390,382,231,1566,595,2974,894,1061,577,581,268,186,156,204,168,15728,2072,2438,586,5172,1082,4123,1023,1810,757,963,418,792,365,430,230,3872,904,222,186,714,388,1534,602,978,535,238,185,0,193,186,152,11472,1733,288,200,726,385,4077,1230,3116,713,874,359,1098,384,1293,550
310M200US45220,45220,"Tallahassee, FL Metro Area",172089,4115,5599,1034,31015,2717,68884,2638,31746,2007,15439,1483,10174,1370,9232,1284,140804,4509,4459,967,24406,2551,56764,3017,25283,1793,13343,1388,9007,1334,7542,1038,17339,2436,618,377,2688,1026,7911,1755,4272,995,864,389,410,246,576,396,2005,718,60,103,845,480,670,382,261,247,141,201,28,45,0,218,3421,761,279,192,1677,676,837,483,240,213,172,119,190,309,26,46,2346,639,132,157,562,444,926,438,328,237,239,197,0,218,159,153,6174,1094,51,71,837,507,1776,675,1362,528,680,377,539,353,929,452
310M200US45300,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",1264782,10234,28479,2057,113189,4547,541538,7243,299628,4999,130080,4834,83397,4410,68471,4322,1030686,12606,20810,2188,88189,4283,438702,8792,250477,5809,107944,4381,69526,4121,55038,3772,104752,5541,3271,1055,11732,1878,50076,4087,21212,2017,9360,1441,5133,1021,3968,965,17480,2517,570,392,2266,1068,8617,1804,2706,721,1846,749,904,384,571,309,18049,2624,1543,564,3454,1047,6991,2080,2915,1003,1207,533,604,416,1335,483,29156,3033,1067,582,4271,1429,12545,2032,5827,1212,2233,680,1459,691,1754,870,64659,4775,1218,611,3277,942,24607,2982,16491,1896,7490,1403,5771,991,5805,1223
310M200US45460,45460,"Terre Haute, IN Metro Area",68774,2730,3343,739,9078,1038,26483,1847,14814,1534,6806,967,4824,846,3426,807,57498,2795,2353,616,7252,1010,22243,1817,12627,1360,5907,926,4300,776,2816,705,5964,1308,435,340,877,447,2751,941,917,447,586,380,284,294,114,85,346,305,67,96,0,190,230,270,0,190,49,83,0,190,0,190,2174,673,433,232,736,352,463,268,349,381,45,78,105,126,43,57,969,634,0,190,79,107,307,240,502,529,68,83,0,190,13,24,1823,679,55,93,134,163,489,335,419,269,151,144,135,119,440,481
310M200US45780,45780,"Toledo, OH Metro Area",269175,5331,11313,1623,33383,2126,109309,3208,57683,2038,27698,1714,18079,2031,11710,1336,226453,5197,8392,1624,27457,1942,92343,3369,49098,2157,23737,1717,15188,1841,10238,1253,21988,3172,1593,869,2555,926,9075,1531,5114,1244,1819,658,1319,553,513,280,3655,1003,44,80,1005,480,1856,773,463,256,138,161,149,119,0,190,7101,1467,1049,546,1709,743,1798,667,1014,530,702,336,450,337,379,245,2968,938,90,105,218,167,1669,727,447,365,228,161,266,391,50,77,7010,1171,145,151,439,261,2568,681,1547,554,1074,534,707,477,530,294
